library_id,brand_id,model_ids,library_name,notes,attributes,parent_ids
4bd43501-a374-45ec-9559-51bf5ca77eb1,ced2b418-2029-11f1-a0d3-0072ee78ad39,,Grand Piano,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
c468cfe3-6f3f-4de2-9648-2f5d186f77e0,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Granulator III,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
321d162c-9b96-40b7-8f00-932eb4bb4109,54d86a16-202b-11f1-a0d3-0072ee78ad39,,Gratis Hits,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
782d9dc1-134d-4fa3-ac07-affcf1e7b38b,ced2b418-2029-11f1-a0d3-0072ee78ad39,,Guitar and Bass,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
bfc48679-76cc-4468-a1ea-f2a71f8186c1,7a379b44-2029-11f1-a0d3-0072ee78ad39,,Inspired by Nature,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
3a8cfbb7-5ca6-4eae-80d4-7d54fb04341f,80cc9ec4-2028-11f1-a0d3-0072ee78ad39,,Instant Haus,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
a45ce9b0-0d60-4f86-a156-7f1d85ad0443,c0230514-202c-11f1-a0d3-0072ee78ad39,,Kapture,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
7d131456-055f-445e-acb6-adef66a2d370,be3dc1d6-202b-11f1-a0d3-0072ee78ad39,,Kasio,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
0f1c838f-1e73-4b83-bcdf-9caf0486a4a7,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Latin Percussion,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
58be42df-202a-4631-99fe-1e7fbc9d5d1a,089dbd72-202b-11f1-a0d3-0072ee78ad39,,Loopmasters Mixtape,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
fe479b83-a6f6-4159-b8b1-3f365e5e2c99,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Lost and Found,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
a09e2483-01f0-46c0-8201-aad423a6a904,4c687d8c-2029-11f1-a0d3-0072ee78ad39,,M4L Big Three,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
a8644e06-e0f7-4a4a-83f1-d4d65ca2be75,4c687d8c-2029-11f1-a0d3-0072ee78ad39,,M4L Building Tools,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
91849628-b1af-4a2e-a43e-a0161333095f,2549948a-202d-11f1-a0d3-0072ee78ad39,,M4L Granulator II,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
a6a8b871-7e48-4020-a9ae-b40c3c9cd80d,4c687d8c-2029-11f1-a0d3-0072ee78ad39,,Max 7 Pitch and Time Machines,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
6c57b2b7-f659-4468-b53e-13779b1cbc31,fdd65085-04e4-4adb-aed4-6ad7b48b6a4d,,Max for Live Essentials,,,workstations:5fa500f4-a06a-4be4-a5ec-40cf2ce82c16
