Name,Manufacturer,Category,Placeholder (Sorted Category) ,Form Factor,Tags,Sorted Tags,Parent,Version,Format,Model,Plugin Notes,Instrument Notes,Recording Notes,Column 12,Column 13,Column 14,Column 15
Space Drone,Native Instruments,Pads & Textures,Pads & Textures,,,,Reaktor,,,,,atmospheric pads,,,,,
Spiral,Native Instruments,Synth,Synth,,,,Reaktor,,,,,MIDI instrument,,,,,
Splitter,Native Instruments,Sampling,Sampling,,,,Reaktor,,,,,Sample player,,,,,
Spotlight EDM,Spectrasonics,"Bass, Pads & Textures, Keyboards, Synth, Strings, Rhythm","Bass, Keyboards, Pads & Textures, Rhythm, Strings, Synth",,,,Omnisphere,,,,(Legacy) NOTE: (Various models on patch by patch basis),,,,,,
SQ 8x8,Native Instruments,Rhythm,Rhythm,,,,Reaktor,,,,,grid based step sequencer,,,,,
SQ16,Native Instruments,Rhythm,Rhythm,,,,Reaktor,,,,,step sequencer,,,,,
SQ8 ,Native Instruments,Rhythm,Rhythm,,,,Reaktor,,,,,step sequencer,,,,,
SQ80 V,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.6.5.6366,"AU, VST3",Ensoniq SQ-80,(1988),,,,,,
SQP,Native Instruments,Synth,Synth,,,,Reaktor,,,,,roll-style sequencer,,,,,
SQX,Native Instruments,"Rhythm, Drums & Percussion, Synth","Drums & Percussion, Rhythm, Synth",,Drums,Drums,Reaktor,,,,,ensemble sequencer,,,,,
Stage-73 V2,Arturia,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,2.6.5.6366,"AU, VST3",Fender Rhodes Mark I Stage 73,,,,,,,
Steam Pipe,Native Instruments,"Synth, Strings, Pipes, Sound Design","Pipes, Sound Design, Strings, Synth",,,,Reaktor,,,,,"physical modeling synth (models air blown through tunable pipe, plucked sounds) ",,,,,
Steam Pipe 2,Native Instruments,"Synth, Strings, Pipes, Sound Design","Pipes, Sound Design, Strings, Synth",,,,Reaktor,,,,,"physical modeling synth (models air blown through tunable pipe, plucked sounds) ",,,,,
