Name,Manufacturer,Category,Placeholder (Sorted Category) ,Form Factor,Tags,Sorted Tags,Parent,Version,Format,Model,Plugin Notes,Instrument Notes,Recording Notes,Column 12,Column 13,Column 14,Column 15
Ample Bass TR6,Ample Sound,Bass,Bass,Plugin,"Bass, Modeled","Bass, Modeled",,4.0.1,"AU, VST3",Yamaha TRBJP2 ,John Pattituci Signature Model,6 Strings,,,,,
Ample Bass U,Ample Sound,Bass,Bass,Plugin,Bass,Bass,,4.0.1,"AU, VST3",,,Virtual Upright Bass,,,,,
Ample Bass Y,Ample Sound,Bass,Bass,Plugin,"Bass, Modeled","Bass, Modeled",,4.0.1,"AU, VST3",Fodera Yin Yang,,,,,,,
Ample Metal R,Ample Sound,Bass,Bass,Plugin,"Bass, Modeled","Bass, Modeled",,4.0.1,"AU, VST3",Ernie Ball Music Man StingRay 5 Retro '70s ,,5 Strings,,,,,
Analog Lab V,Arturia,Container,Container,"Plugin, Standalone",,,,5.12.2.6463,"AU, VST3",,Central Hub for Arturia V Collection,,,,,,
Analog Vibes,Spectrasonics,"Bass, Drums & Percussion, Keyboards, Pads & Textures, Strings, Synth, Vocal, Rhythm","Bass, Drums & Percussion, Keyboards, Pads & Textures, Rhythm, Strings, Synth, Vocal",,,,Omnisphere,,,,,,,,,,
Anthem Synth,Universal Audio,Synth,Synth,Plugin,,,,1.0.2,UADx,,,,,,,,
ARP ,Universal Audio,Synth,Synth,Plugin,,,,1.1.4,UADx,,,,,,,,
ARP 2600,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.2.1,"AU, VST3",ARP 2600,,,,,,,
ARP 2600 V3,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,3.13.4.6366,"AU, VST3",ARP 2600,,,,,,,
ARP Odyssey,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.5.3,"AU, VST3",ARP Odyssey,,,,,,,
Atmosphere Library,Spectrasonics,"Bass, Drums & Percussion, Pads & Textures, Strings, Rhythm, Synth, Keyboards","Bass, Drums & Percussion, Keyboards, Pads & Textures, Rhythm, Strings, Synth",,,,Omnisphere,,,,(Legacy) NOTE: (Various models on patch by patch basis),,,,,,
Atmotion,Native Instruments,Pads & Textures,Pads & Textures,,,,Reaktor,,,,creates moving sounds (pads / atmospheres / special effects) ,,,,,,
Augmented BRASS,Arturia,Brass,Brass,"Plugin, Standalone",,,,2.0.2.6369,"AU, VST3",,,"sampled brass, or synth (Analog, Wavetable, Granular, Simpler, Harmonic)",,,,,
Augmented GRAND PIANO,Arturia,Keyboards,Keyboards,"Plugin, Standalone",,,,2.0.2.6369,"AU, VST3",,,"sampled piano, or synth (Analog, Wavetable, Granular, Simpler, Harmonic)",,,,,
Augmented MALLETS,Arturia,Drums & Percussion,Drums & Percussion,"Plugin, Standalone",Drums,Drums,,2.0.2.6369,"AU, VST3",,,,,,,,
Augmented STRINGS,Arturia,Strings,Strings,"Plugin, Standalone",,,,2.0.2.6369,"AU, VST3",,,"sampled strings, or synth (Analog, Wavetable, Granular, Simpler, Harmonic)",,,,,
Augmented VOICES,Arturia,Vocal,Vocal,"Plugin, Standalone",Voice,Voice,,2.0.2.6369,"AU, VST3",,,"sampled voices, or synth (Analog, Wavetable, Granular, Simpler, Harmonic)",,,,,
Augmented WOODWINDS,Arturia,Woodwinds,Woodwinds,"Plugin, Standalone",,,,2.0.2.6369,"AU, VST3",,,"sampled woodwinds, or synth (Analog, Wavetable, Granular, Simpler, Harmonic)",,,,,
Augmented YANGTZE,Arturia,World Instruments,World Instruments,"Plugin, Standalone",,,,2.0.2.6369,"AU, VST3",,,,,,,,
Axxess,GForce,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.0.1,"AU, VST3",ARP Axxe,,,,,,,
B-3 V2,Arturia,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,2.9.5.6366,"AU, VST3",Hammond B-3 Organ,,,,,,,
Backbone,Steinberg,"Rhythm, Drums & Percussion, Sound Design","Drums & Percussion, Rhythm, Sound Design",Plugin,Drums,Drums,,1.6.10,"AU, VST3",,,Drum Re-Synthesizer w/ Effects; DrumGAN allows you to create your own drum sounds,,,,,
Bass Fingers,Waves,Bass,Bass,"Plugin, Standalone",Bass,Bass,,16.7.33,AU,,,MIDI Synth Bass (Samples) focused on accurate fingerstyle performance,,,,,
Bass Man 5,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Ernie Ball Music Man StingRay 5,(1987),"5 Strings; Active, BassMan 5 HB  1987",(versatile)  (punchy),,,,
Bass Slapper,Waves,Bass,Bass,"Plugin, Standalone",Bass,Bass,,16.7.33,AU,,,MIDI Synth Bass (Samples) focused on accurate slapping performance,,,,,
Battery 4,Native Instruments,Rhythm,Rhythm,"Plugin, Standalone",,,,4.3.1,VST3,,143 kits in Battery Factory Library,drum sampler w/ effects,"electronic, hip hop",,,,
BBC Symphony Orchestra,Spitfire Audio,"Brass, Drums & Percussion, Strings, Vocal, Woodwinds","Brass, Drums & Percussion, Strings, Vocal, Woodwinds",Plugin,"Drums, Voice","Drums, Voice",,1.11.6,"AU, VST3",,,,,,,,
Beat Splicer 2,Native Instruments,Sampling,Sampling,,,,Reaktor,,,,,sampler,,,,,
BFD 3 Core,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,,,,,,,
BFD Crush,BFD,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",BFD3,,,Crush Drums Sublime AXM,BFD3 Expansion,"Meinl Byzance cymbals: (10 cymbals; range of stacked configs); 3 versions of kick (dampened, fully open, w/o resonant head); 3 snares across eight variations; 6 toms (2 floor, 4 rack)","perfect for all progressive and technical rock and metal genres. kick and toms recorded w/ mics intended for heavy music. Audix D6, Sennheiser E602, AKG D112, AEA R84. recorded a tiled surface to give some shimmer to your drum kit, and we brought back the infamous PZM microphones from the BFD Eldorado sessions - these microphones give you a huge room sound and can be the foundation of your mix. We also included a mono microphone positioned just in front of the drum kit, which can be crushed to hell and back to really fatten up your productions.",,,,
BFD Dan Foord Polyrhythmic Metal,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,Dan Foord,,Modern tech model. Polyrhythms form the basis of this style and 3 over 4 most of all. Most comprehensive set of 3 over 4 polyrhythmic grooves and fills. ,,,,
BFD Dark Farm,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,BFD3 Expansion,"(3) Drum kits, including an all-copper kit by Q Drum Co. (11) Cymbals (3) Additional snare drums and (3) additional kick drums (11) Mix-ready presets (7) Groove Palettes and (287) individual Grooves","ideal for heavy metal, hard rock, and all forms of heavy or aggressive music Recorded at Middle Farm Studios, world-renowned for their punchy live room ",,,,
BFD Heavy,BFD,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",BFD3,,,"Yamaha Birch Custom Absolute
Yamaha Recording Custom",BFD3 Expansion,"3 kicks (wood and felt beaters), 9 toms and a bonus reduced-detail Yamaha Jimmy Chamberlin steel-shell snare; (snare and toms have stick and mallets). Rim shots and Rim ckicks",designed for hard rock and metal styles,,,,
BFD Heavy Rock Classics,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,BFD3 Expansion,,authentic drum part recreations from all-time classics of the heavy rock genre,,,,
BFD Horsepower,BFD,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",BFD3,,,Gretsch USA Custom,BFD3 Expansion,6 configurable kits; sticks and brushes; Sabian hi-hats; Zildjian cymbals; ,"Americana-style drum sounds for a wide range of genres from blues and alt-country to garage rock and folk. Recorded w/ a perfect balance between vintage dirt and modern punch Warm ribbon-mic room ambience is accompanied by several 'character' channels with saturated vintage tones, custom plate processing and even a unique trash can mic for lo-fi dirt. Snares were damped with paper and tea towels with the rest of the kit left untreated and tuned to the room for an open and vibrant sound that effortlessly slots into your mixes.",,,,
BFD Jazz & Funk,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,BFD3 Expansion,"Centred around 3 exquisitely recorded kits and a wide range of hyper-detailed extras, most of the instruments are provided in stick and brush versions with selected pieces also played with mallets, rods and even hands! ","Recorded in a dry, intimate sounding room at Omega Studios, Maryland, USA, (jazz, funk, pop, soul, hip-hop, R&B, blues, country, fusion, folk, rock and far beyond.)",,,,
BFD Jazz Maple,BFD,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",BFD3,,,Yamaha Maple Custom Absolute,BFD3 Expansion,2 kicks; 3 toms; bonus reduced-detail snare; Sabian cymbals,"Maple warmth and sustain; particularly suited to jazz, fusion and funk, it's great for any other musical styles that need expressive and great-sounding drums.",,,,
BFD Jazz Noir,BFD,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",BFD3,,,Camco Oaklawn Kit,BFD3 Expansion,"rare, vintage Camco ""Oaklawn""; sticks and brushes; Istanbul cymbals (inc. 24"" ride); 1930s Round Badge Gretsch (snare)","jazz, funk and neo-soul, Camco drums are sought after by players and collectors alike for their clarity of tone and warm sustain; tuned medium high; Gretsch snare is low / fat alternative to Camco snare.
- Kick recorded dampened and open w/ Oktava MK220 (inside) and Neumann TLM 103 (outside). 
- Both snares were recorded w/ + w/o wires w/ Avantone CK-1 (top) Rode NT5 (underneath)
- toms recorded w/ SE Electronics 3 (w/ snare wires for natural kit sound or w/ no wires for cleaner timbre) 
- cymbals recorded w/ pair of AKG C415B (overheads)
- room mics (Golden Age Project R1, AEA R84 ribbon)",,,,
BFD JM Essentials Vol. 1,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,BFD3 Expansion,,"Produced by vastly experienced composer Jacques Mathias, contains varied, expressive patterns that cover genres such as rock, hard rock, alt-rock, heavy metal, trash metal and pop-punk.",,,,
BFD JM Essentials Vol. 2,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,BFD3 Expansion,,"realistic set of reggae, funk, disco, swing, rockabilly, nu-metal and punk patterns",,,,
BFD Metal Snares,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,BFD3 Expansion,"5 snares with different materials, shell thickness, depth, and diameter for wide array of sounds","Metal shells are desired for their brighter, louder sound with increased overtones.

Each snare drum was recorded with 2 top mics, 1 bottom mic and 1 side mic, along with mono room, ribbon room, and far room ambience channels. We added 2 stereo reverb channels to achieve a massive sound. From Brass to Bronze, Steel to Aluminum, these metal drums are full of character offering huge sounds that punch through the mix.",,,,
BFD Modern Drummer Snare Selects,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,BFD3 Expansion,12 premium and boutique snares; all awarded 'Snare Drum of the Month' status by Modern Drummer magazine and represent some of today's most cutting-edge metal and wood shell designs. ,"Recorded with expressive detail levels, the instruments are all provided in snares-on versions along with selected alternate sounds with brushes, rods, hands and with snares off.",,,,
BFD Modern Retro,BFD,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",BFD3,,,"Sonor Designer 
Tama Starclassic",BFD3 Expansion; produced and recorded by Chocolate Audio,"70 instruments; 1997 Sonor Designer and Tama Starclassic Kit; Ludwig, Sonor and Tama Snares; Zildjian, Ufip, Paiste, Turkish, Sabian hats/cymbals; hotrod, brush, kick beater (felt and plastic)","2 kits that defined the sound of the 1990s and early 2000s. Kick recorded with 4 direct mics!The lush ambience of the recording space is captured with 2 sets of overhead and room mics. Designed to offer a variety of pop/rock-oriented sounds although the pack is perfect for all modern genres that demand detailed, focused and powerful-sounding drums.
",,,,
BFD Modern Rock Grooves,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,BFD3 Expansion,, inspirational and heavy beats for a variety of rock genres,,,,
BFD Oblivion,BFD,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",BFD3,,,Mapex Orion,BFD3 Expansion,"3 different version of Mapex Orion; 2 snares (Mapex brass; Brady jarrah wood) cymbals (Bosphorous, Zildjian, Paiste) ","Designed to provide ready-to-use heavy rock and metal drum sounds; inspired by genres like post-metal, sludge, prog-metal and alt-rock and are intended to have the punch to slice through the densest walls of guitars.",,,,
BFD Orchestral,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,BFD3 Expansion,"variety of orchestral bass drums, snares and hand cymbals alongside chromatically tuned timpani and concert chimes which are sampled over 1.5 octaves and perfect for unusual melodic lines. suspended cymbals with huge decays due to the lack of a stand to dampen vibrations.",unique set of concert percussion; perfect for film / commercial composition as well as progressive music production and creative sound design. ,,,,
BFD Sabian Digital Vault,BFD,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",BFD3,,,"Sabian AAX
Sabian HHX",BFD3 Expansion,"Diverse collection of cymbals and hihats from Sabian (AAX; HHX) unique stacked cymbal setups, esoteric percussion cymbals and 4 hyper-detailed hihats. Mallet and brush versions
",All genres; Recordings performed by sampling guru John Emrich,,,,
BFD Stanton Moore Cymbals,BFD,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",BFD3,,,Bosphorous Stanton Moore Signature Cymbals,BFD3 Expansion,"Bosphorous Stanton Moore (Signature Cymbals); 4 crashes (with additional mallet versions), 2 rides and a hihat

","Stanton Moore (founding member of New Orleans funk band Galactic; worked w/ Tom Morello, Robert Walter, Corrosion of Conformity, Joss Stone). Recordings performed by sampling guru John Emrich",,,,
BFD Stanton Moore Grooves,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,BFD3 Expansion,,"300 funk patterns; intended to accompany BFD Standon Moore Cymbals, but works w/ any BFD Kit (Kick, snare, hihat and cymabls); New Orleans style funk",,,,
BFD Vintage Rock Grooves,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,BFD3 Expansion,,inspired by 60's/70's classic rock,,,,
BFD Virtually Erskine,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,BFD3 Expansion,"15GB of highly detailed instruments; 2 DW kits; Zildjian cymbals. Stick and brush versions
","Performed by Peter Erskine (played w/ some of the biggest names in jazz, pop and rock such as Weather Report, Steely Dan, Joni Mitchell and Kate Bush) his drum sound and groove are perpetually in demand. Recordings performed by sampling guru John Emrich. particularly suitable for jazz, pop, rock and fusion.",,,,
BFD Virtually Erskine Grooves,BFD,Drums & Percussion,Drums & Percussion,,Drums,Drums,BFD3,,,,BFD3 Expansion,,400 patterns performed by Peter Erskine. Intended for Virtually Erskine expansion; but can be used w/ any BFD kit. ,,,,
BFD3,BFD,"Drums & Percussion, Container","Container, Drums & Percussion",Plugin,Drums,Drums,,3.5.0,"AU, VST3",,,,,,,,
Black Diamond B280,IK Multimedia,Keyboards,Keyboards,,Modeled,Modeled,Pianoverse,,,Boesendorfer 280 Vienna Concert,,,,,,,
Black Oyster,IK Multimedia,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",MODO Drum,,,Ludwig Black Oyster Pearl,,,,,,,
Black Pearl B200,IK Multimedia,Keyboards,Keyboards,,Modeled,Modeled,Pianoverse,,,Boesendorfer 214C Vienna Concert,,,,,,,
BlueMatrix,Native Instruments,Synth,Synth,,,,Reaktor,,,,,sequenced synth w/ analog-style sound engine,,,,,
Brit Custom,IK Multimedia,Drums & Percussion,Drums & Percussion,,Drums,Drums,MODO Drum,,,,,"4-piece birch set; cymbal collection that includes: 20” Ride 2022, 18” Crash 2022, 16” Crash 2022 and the new Hi-hat 2022 ",with a warm and rich sound that makes it perfect for music styles like indie-pop and indie-rock. cymbals are famous for their ability to cut through a mix without losing warmth and color.,,,,
Bubinga,IK Multimedia,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",MODO Drum,,,Tama Starclassic Bubinga,,7-piece set,,,,,
Buchla Easel V,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.13.4.6366,"AU, VST3",Buchla Music Easel,,,,,,,
Carbon ,Native Instruments,Synth,Synth,,,,Reaktor,,,,,classic subtractive synth (oscillator - filter - effect) ,,,,,
Carbon 2,Native Instruments,Synth,Synth,,,,Reaktor,,,,,classic subtractive synth (oscillator - filter - effect) ,,,,,
Celeste,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Simone Brothers Celeste,,,,,,,
Chamber Strings - Basses,Universal Audio,Strings,Strings,Plugin,,,,1.0.0,UADx,,,,,,,,
Chamber Strings - Celli,Universal Audio,Strings,Strings,Plugin,,,,1.0.0,UADx,,,,,,,,
Chamber Strings - Violas,Universal Audio,Strings,Strings,Plugin,,,,1.0.0,UADx,,,,,,,,
Chamber Strings - Violins 1,Universal Audio,Strings,Strings,Plugin,,,,1.0.0,UADx,,,,,,,,
Chamber Strings - Violins 2,Universal Audio,Strings,Strings,Plugin,,,,1.0.0,UADx,,,,,,,,
Chimeatron,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Schulmerich Bells Chimeatron,SN# 208. (recorded through its original tube amp and speaker),,,,,,
Classic Digital,Spectrasonics,"Bass, Drums & Percussion, Keyboards, Pads & Textures, Synth, Vocal, Woodwinds, Rhythm","Bass, Drums & Percussion, Keyboards, Pads & Textures, Rhythm, Synth, Vocal, Woodwinds",,,,Omnisphere,,,,,,,,,,
Clavichord,Spectrasonics,Keyboards,Keyboards,,,,"Keyscape, Omnisphere",,,,,,,,,,
Clavinet,Waves,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,16.7.33,AU,Hohner Clavinet D6,,,,,,,
Clavinet V,Arturia,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,1.13.4.6366,"AU, VST3",Hohner Clavinet D6,,,,,,,
Club Land,Spectrasonics,"Bass, Drums & Percussion, Pads & Textures, Rhythm, Synth","Bass, Drums & Percussion, Pads & Textures, Rhythm, Synth",,,,Omnisphere,,,,,,,,,,
CMI V,Arturia,"Sampling, Synth","Sampling, Synth","Plugin, Standalone",Modeled,Modeled,,1.13.4.6366,"AU, VST3",Fairlight CMI IIx,,,,,,,
CODEX,Waves,Synth,Synth,"Plugin, Standalone",,,,16.7.33,AU,,,Advanced polyphonic granular wavetable synthesizer,,,,,
Concert Grand YF3,IK Multimedia,Keyboards,Keyboards,,Modeled,Modeled,Pianoverse,,,Yamaha CFIII,,,,,,,
CP-70 V,Arturia,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,1.0.5.6366,"AU, VST3",Yamaha CP-70,,,,,,,
CR8 Sampler,Waves,Sampling,Sampling,"Plugin, Standalone",,,,16.7.33,AU,,creative sampler,,,,,,
CS-80 V4,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,4.3.4.6366,"AU, VST3",Yamaha CS-80,,,,,,,
Custom Cymbals,IK Multimedia,Drums & Percussion,Drums & Percussion,,Drums,Drums,MODO Drum,,,,,"5-piece set of cymbals: 
Hi-Hat, Crash 16"", Crash 18"", Ride 20"" , China 18""",,,,,
CZ V,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.9.4.6366,"AU, VST3","Casio CZ-101
Casio CZ-1000",,,,,,,
Devil Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Gibson EB-0,,"4 Strings; Passive, Devil SC ","(rock) (deep, stands out)   ",,,,
Djentleman,IK Multimedia,Drums & Percussion,Drums & Percussion,,Drums,Drums,MODO Drum,,,,,5-piece set,"A deep burst of sound invites you to dive in and explore the depths of this drum set. The biting yet warm notes spoken by this kit create the fundamental expression of the new metal movement, the so-called, “djent genre.”",,,,
Dolceola,Spectrasonics,Keyboards,Keyboards,,,,"Keyscape, Omnisphere",,,,,,,,,,
Double Felt Grand,Spectrasonics,Keyboards,Keyboards,,,,"Keyscape, Omnisphere",,,,,7-foot grand piano,"""Felt"" piano sound is achieved by draping a layer of felt vertically between the strings and hammers of an upright. his softens the strikes and gives the upright piano an intimate, muted tone. (Jim Wilson figured out how to do this on a grand piano)",,,,
Drum Machine,Steinberg,Drums & Percussion,Drums & Percussion,,,,Cubase 15,,,,,,,,,,
Dulcitone,Spectrasonics,Keyboards,Keyboards,,,,"Keyscape, Omnisphere",,,,,Predecessor to Celeste and Rhodes. (Invented in Scotland in 1860),,,,,
Duo Combination,Spectrasonics,"Keyboards, Container","Container, Keyboards",,,,"Keyscape, Omnisphere",,,,"Collection of ""combinatons"" of 2 Keyscape patches",,,,,,
DX7 V,Arturia,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,1.13.4.6366,"AU, VST3",Yamaha DX7,,,,,,,
Electra 88 Vintage Keys,Universal Audio,Keyboards,Keyboards,Plugin,Modeled,Modeled,,1.0.12,UADx,Fender Rhodes Mark I Suitcase 88,(1974) Softube (Modeled by) ,,,,,,
Electribe-R,Korg,Rhythm,Rhythm,"Plugin, Standalone",Modeled,Modeled,,1.0.2,"AU, VST3",Korg ElecTribe R (ER-1) ,,,,,,,
Electric 200,Waves,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,16.7.33,AU,Wurlitzer 200A,,,,,,,
Electric 88,Waves,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,16.7.33,AU,Fender Rhodes Mark I Suitcase 88,(1974),,,,,,
Electric Grand 80,Waves,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,16.7.33,AU,Yamaha CP-80,,,,,,,
Electric Harpsichord,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Baldwin Solid Body Harpsichord,,,,,,,
Electric Underground,Spectrasonics,"Bass, Drums & Percussion, Keyboards, Pads & Textures, Rhythm, Strings, Synth, Vocal, Woodwinds","Bass, Drums & Percussion, Keyboards, Pads & Textures, Rhythm, Strings, Synth, Vocal, Woodwinds",,,,Omnisphere,,,,,,,,,,
Electronic Production,Spectrasonics,"Bass, Drums & Percussion, Keyboards, Pads & Textures, Rhythm, Strings, Synth, Vocal, Woodwinds","Bass, Drums & Percussion, Keyboards, Pads & Textures, Rhythm, Strings, Synth, Vocal, Woodwinds",,,,Omnisphere,,,,,,,,,,
Elegance Cymbals,IK Multimedia,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",MODO Drum,,,Paiste Signature Series,,"9-piece set of cymbals: 
Hi-Hat, Crash 16"", Crash 18"", Crash 19"", China 20"", Splash 10"", Bell 10"", Ride 22"" , China 18""",,,,,
Element,Waves,Synth,Synth,"Plugin, Standalone",,,,16.7.33,AU,,,subtractive polyphonic virtual analog synthesizer,,,,,
Emulator II V,Arturia,"Sampling, Synth","Sampling, Synth","Plugin, Standalone",Modeled,Modeled,,1.6.4.6366,"AU, VST3",E-mu Systems Emulator II,,,,,,,
EP-1,Korg,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,1.2.1,"AU, VST3",Fender Rhodes Mark I Suitcase 88,,"based on Korg workstations (Nautilus, Kronos)",,,,,
Equinoxe Deluxe,Native Instruments,Synth,Synth,,,,Reaktor,,,,,analogue synth,,,,,
Experimental Organic,Spectrasonics,"Synth, Pads & Textures, Rhythm, Strings, Vocal, Woodwinds","Pads & Textures, Rhythm, Strings, Synth, Vocal, Woodwinds",,,,Omnisphere,,,,,,,,,,
Extreme,IK Multimedia,Drums & Percussion,Drums & Percussion,,Drums,Drums,MODO Drum,,,,,8-piece set,"This modern classic is a symbol of legendary 80s and 90s metal bands. With specifically crafted shells, it offers a sound that harkens back to the robust tones of vintage drums but with a more contemporary attack, greater projection and consistent timbre.",,,,
Farfisa V,Arturia,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,1.13.4.6366,"AU, VST3",Farfisa Combo Deluxe Compact,,,,,,,
Flame Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Warwick Streamer,(1990s),"4 Strings; Active, Flame BSC + NSC",,,,,
Flow Motion,Waves,Synth,Synth,"Plugin, Standalone",,,,16.7.33,AU,,,FM-based Synthesizer,,,,,
FM4,Native Instruments,Synth,Synth,,,,Reaktor,,,,,FM synth,,,,,
FM8,Native Instruments,Synth,Synth,"Plugin, Standalone",,,,1.4.6+3,VST3,,,FM-based Synthesizer,,,,,
Fretless Bass. Man,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Ernie Ball Music Man StingRay Pino Palladino Fretless,,"4 Strings; Active, F-Bass Man HB pickup","(soul, funk, pop, new wave) (soloing) ",,,,
Fretless Jazz,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Fender Jaco Pastorius Jazz Bass,,"4 Strings; Passive, F-Jazz BSC & NSC pickups",,,,,
Fusion J-Bass,IK Multimedia,Bass,Bass,,"Bass, Modeled","Bass, Modeled",MODO Bass 2,,,Fender Marcus Miller Jazz Bass,,"4 Strings; Passive, Fusion BSC + NSC",(fusion) (hard slapping)  ,,,,
Gaugear,Native Instruments,Synth,Synth,,,,Reaktor,,,,,experimental monophonic synth,,,,,
GoBox,Native Instruments,Sampling,Sampling,,,,Reaktor,,,,,monophonic sampler,,,,,
Gran Concerto 278,IK Multimedia,Keyboards,Keyboards,,Modeled,Modeled,Pianoverse,,,Fazioli F278,,,,,,,
Grand Piano Y7,IK Multimedia,Keyboards,Keyboards,,Modeled,Modeled,Pianoverse,,,Yamaha C7,,,,,,,
Grand Rhapsody Piano,Waves,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,16.7.33,AU,Fazioli F228,London's Metropolis Studios,,,,,,
Green Matrix,Native Instruments,Synth,Synth,,,,Reaktor,,,,,MIDI playable brother of Blue Matrix (analog-style synth engine) ,,,,,
Grobian,Native Instruments,"Bass, Synth","Bass, Synth",,Bass,Bass,Reaktor,,,,,bass synth,,,,,
Groove Agent SE,Steinberg,"Rhythm, Drums & Percussion, Sound Design","Drums & Percussion, Rhythm, Sound Design","Plugin, Standalone",Drums,Drums,,6.0.10,"AU, VST3",,,drum production sampler and synth,,,,,
Grungy,IK Multimedia,Drums & Percussion,Drums & Percussion,,"Drums, Modeled","Drums, Modeled",MODO Drum,,,Yamaha Recording Custom,,4-piece set,,,,,
HALion Sonic,Steinberg,Synth,Synth,"Plugin, Standalone",,,,7.1.50,"AU, VST3",,,Virtual instrument workstation,,,,,
Hamburg Grand S274,IK Multimedia,Keyboards,Keyboards,,Modeled,Modeled,Pianoverse,,,Steinway Hamburg D-274,Steinway & Sons,,,,,,
Hammers,Spitfire Audio,"Rhythm, Sound Design, Drums & Percussion, Keyboards","Drums & Percussion, Keyboards, Rhythm, Sound Design","Plugin, Standalone",Drums,Drums,,1.1.22,"AU, VST3",,,,,,,,
Hammond B-3X,IK Multimedia,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,1.3.5,"AU, VST3",Hammond B-3 Organ,,"Stomp: Ibanez Tube Screamer,  BOSS CE-1, Wah, Spring Reverb. Amps: model 147, classic 122, modern 122A, 3300W and G37 / Studio 12 Leslie amps or two tube guitar amps, the British Lead, based on the Marshall® Plexi S100, and the HiAmp, based on the Hiwatt® Custom 100 DR 103. POST Effects: UREI 1176 Limiter, Neve 1081 EQ, General Reverb",,,,,
Hard Edges,Spectrasonics,"Bass, Drums & Percussion, Pads & Textures, Synth","Bass, Drums & Percussion, Pads & Textures, Synth",,,,Omnisphere,,,,,,,,,,
Hardware Library,Spectrasonics,"Bass, Drums & Percussion, Pads & Textures, Strings, Rhythm, Synth, Keyboards","Bass, Drums & Percussion, Keyboards, Pads & Textures, Rhythm, Strings, Synth",,,,Omnisphere,,,,(Legacy) NOTE: (Various models on patch by patch basis),,,,,,
