Model Name,Vendor,Type,Column 11,Link,Description,Founder,Year,Recording notes,Artists,Clone Notes
G-15 Gemini II,Ampeg,Amp & Cab,Amp & Cab,Ampeg Gemini II (G-15),"30W 2ch vintage tube combo amp. 1x 15 (Default: Jensen C15N). 3 x 12AX7, 1 x 7199 (phase inverter), 1 x 6CG7, and 2 x 7591",,1965-68,"primarily for jazz and accordion, but worked well w/ rock and blues. Gritty overdrive. ""hi-fi"" sounding w/ full bodied cleans that remained clean up to high volumes. Thick, complex distortion when driven. ",,
Liquifier Analog Chorus,Ampeg,"Modulation, Stomp","Modulation, Stomp",Liquifier Analog Chorus,,,,,,
Opto Comp,Ampeg,"Dynamics, Stomp","Dynamics, Stomp",Opto Comp,,,,,,
PB-212H,Ampeg,"Amp & Cab, Bass","Amp & Cab, Bass",,"2x12 ""Portabass"" ; 400W Default: 12"" Neodymium custom speakers (designed by Eminence)",,,,,
PR-410HLF,Ampeg,Amp & Cab,Amp & Cab,PR-410HLF,,,,,,
Scrambler,Ampeg,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Scrambler Bass Overdrive,,,,,,
SVT,Ampeg,Amp & Cab,Amp & Cab,"Ampeg - Discontinued
Ampeg - Classic Series","The first SVT models. ""Blue Line"" 300W. 2 x 12AX7A, 2 x 12BH7A, 3 12DW7, 1 x 6C4WA, 6 x 6550. ""Undisputed King of all-tube bass keads"" ",,1967-72,"Raw, more aggressive than later versions. More grind and punch (less EQ). Rough, mid-forward, snarls when pushed. Loud, rude, legendary",,
SVT-2 ,Ampeg,Amp & Cab,Amp & Cab,Ampeg - Discontinued,"(aka SVT II) 300W, 4 x 12AX7, 2 x 12AU7, 6 x 6550. Closer circuit to vintage SVTs",,late 80s / early 90s,"raw, open, old-school field. ",,
SVT-2Pro,Ampeg,Amp & Cab,Amp & Cab,Ampeg - Discontinued,"(aka SVT II Pro) 300W, 2 x 12AX7, 3 x 12AU7, 6 x 6550. (updated EQ, DI from non-pro version)",,mid-90's,"controlled, flexible. ",,
SVT-3Pro,Ampeg,Amp & Cab,Amp & Cab,Ampeg SVT-3Pro,"450W, 3 x 12AX7, 1 x 12AU7, MOSFET Power amp",,,,,
SVT-400T,Ampeg,Amp & Cab,Amp & Cab,Ampeg - Discontinued,400W Solid State. GEQ for cleaner preamp voicing. Much less compression / sag than tube SVTs. ,,1990s,"90s rock, metal, slap. Tight, fast, modern low end. Loud, punchy, controlled. Muscle > Tube Magic. ",,
SVT-4Pro,Ampeg,Amp & Cab,Amp & Cab,Ampeg SVT-4Pro,"1200W, 3 x 12AX7, tube driven MOSFET power amp, compression",,,,,
SVT-CL,Ampeg,Amp & Cab,Amp & Cab,Ampeg - Classic Series,"""SVT Classic"" 300W, 3 x 12AX7, 2 x 12AU7, 6 x 6550",,,"smoother, more controlled, more polished than early SVTs",,
SVT-VR,Ampeg,Amp & Cab,Amp & Cab,"Ampeg SVT-VR
Ampeg - Discontinued Products","VR= Vintage Reissue (of the original Blue Line SVT) 300W, 4 x 12AX7, 4 x 12AU7, 6 x 6550. ",,,"smoother, more controlled, more polished than early SVTs",,
SVT210AV,Ampeg,Amp & Cab,Amp & Cab,SVT210AV,2x10 bass cab. 600W; Default Driver: Custom Eminence LF Speakers,,,"Ideal match for Ampeg V-4B, Classic, SVT-Pro or Portaflex",,
SVT210E,Ampeg,Amp & Cab,Amp & Cab,SVT210E,2x10 bass cab. 200W; Default Driver: Custom Eminence LF Speakers,,,,,
SVT212AV,Ampeg,Amp & Cab,Amp & Cab,SVT212AV,2x12 bass cab. 600W; Default Driver: Custom Eminence LF Speakers,,,"Ideal match for Ampeg V-4B, Classic, SVT-Pro or Portaflex",,
SVT410HLF,Ampeg,Amp & Cab,Amp & Cab,SVT-410HLF,4x10 Closed back; 1000/500W; Default Driver: Custom OEM,,,,,
SVT610HLF,Ampeg,Amp & Cab,Amp & Cab,SVT-610HLF,,,,,,
SVT810AV,Ampeg,Amp & Cab,Amp & Cab,SVT-810AV,(Anniversary reissue of the E) 8x10 bass cab. 800/400W; Default Driver: Custom OEM Eminence Speakers,,,"vintage punch, faster response, classic SVT bark",,
SVT810E,Ampeg,Amp & Cab,Amp & Cab,SVT-810E Infinite Baffle,Goto cab for most bass players; 8x10 bass cab. 800/400W; Default Driver: Custom OEM Eminence Speakers,,1969,"punchy, round; modern, bigger bottom, cleaner headroom. (modern bass, drop tunings, cleaner lows) ",,
V-4B,Ampeg,Amp & Cab,Amp & Cab,Ampeg - Classic Series,"Lightweight ""sibling"" of SVT. 100W. 3 x 12AX7, 1 x 12AU7, 4 x 6L6GC",,,,,
350,Ampex,Tape Machine,Tape Machine,Ampex 350,"1/4"" reel to reel tape saturation with delay. ",,,Eddie Kramer used it in the 50's / 60's as a mastering finalizer to record the output of the Helios Type 69 console w/ PYE compressor,,
440B,Ampex,Tape Machine,Tape Machine,Ampex AG440B,"1/4"", 2 track mastering analog tape emulation. Transistor electronics, w/ transformer balanced circuitry",,1960s,"rock, jazz, blues. Warm, thicvk low-end, slow midrange. Soulful",,
ATR-102,Ampex,Tape Machine,Tape Machine,Ampex ATR-100,stereo tape recorder w/ isolation transformer emulation and tape delay,,1976,"polished, warm detailed; last insert on channel (possibly before a brickwall limiter) ",,
DFC,AMS (Neve) ,Console,Console,,DFC (Digital Film Console) Used for over 70% of Hollywood blockblusters / Major film. ,,,"This is going to be used in a lot of movies, so it might be a nice channel strip for orchestras and ""movie"" pads. ",,
DMX 15-80S,AMS (Neve) ,"Delay, Pitch Tools","Delay, Pitch Tools",AMS DMX 15-80 S,"microprocessor-controlled 15-bit digital delay and pitch shifter, 80s space and depth",,1978,,,
RMX16,AMS (Neve) ,Reverb,Reverb,AMS RMX 16,"first microprocessor controlled, full b/w digital reverb.",,1980s,,,
King of Tone,Analogman,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",King of Tone,(highly modified dual-sided version of the original Marshall Bluesbreaker pedal designed for more versalitity and higher gain) ,,,"(Compared to Marshall Bluesbreaker -- more bottom end, warmer / less compressed tones) ",,
Prince of Tone,Analogman,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Prince of Tone,,,,,,
402 Aural Exciter,Aphex,Harmonic Coloration,Harmonic Coloration,402,,Curt Knoppel,1975,"increase, excite and enhance presence, brightness and detail on vocal tracks and masters",,
212L Mic Pre,API,Preamps & DI,Preamps & DI,212L Mic Pre,212L preamp w/ 2520 op-amp. (From API 2488 Vision Console) ,,,,,
2500 Stereo Bus Compressor,API,Dynamics,Dynamics,2500 Stereo Bus Compressor,"(Paul Wolff-era API design) 2-bus compressor w/ 2 modes (old/feedback smoother, colored compression API 525 style; new/feedfoward, transparent VCA like compression) , Thrust circuitry, 2510, 2520 op amps changes responsiveness of compressor",Paul Wolff,,,,
5500 Dual Equalizer,API,EQ,EQ,5500 Dual Equalizer,"based off the original 550 console equalizer with true hardwire bypass, extended range control, and balanced XLR input/output",,,,,
550A Discrete 3 Band EQ,API,EQ,EQ,550A Discrete 3 Band EQ,API Vision console EQ; 3-band overlapping parametric EQ w/ BPF. 5 fixed cutoff points ber band,,1960s,,,
550B 4 Band EQ,API,EQ,EQ,API 550b 4 Band EQ,API Vision console EQ; 4-band overlapping parametric EQ w/ BPF. 7 fixed cutoff points ber band,,1960s,,,
560 10-Band Graphic EQ,API,EQ,EQ,API 560,API Vision Consoloe; 10-band graphic EQ (1 octave increments) w/ onboard preamp. tames the sides for broad retro-tonal sculpting. subtract unnecessary freq' in instrument / subgroups ,,1967,,,
Vision Console,API,Console,Console,Vision Console Control Strip,"modern analog console [  API 212L preamp w/ 2520 op-amp; 215L sweepable high/low cut filters; 225L compressor/limiter --  2 modes (old/feedback smoother, colored compression API 525 style; new/feedfoward, transparent VCA like compression); 235L gate/expander; 550L 4-band EQ (Step up from 550A) (Pre/Post dynamics) w/ sidechain]",,2003,,,
SMM-1 Metal Master,Arion,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",,"vintage 1980s Japanese-made distortion pedal designed for heavy metal, ",,,"known for its aggressive, high-gain, and ""chainsaw"" tone, often considered a cult alternative to the Boss HM-2. It features Level, High, Low, and Distortion controls, delivering a versatile, thick, and biting distortion",,
SCH-Z Stereo Chorus (modded) ,Arion ,"Modulation, Stomp","Modulation, Stomp",,"affordable, Japanese-made stereo chorus pedal. Highly skilled engineers at E.W.S (Engineering Work Store), of Prosound Communications Inc. Japan, have crafted special modifications to meet the pro musicians' most severe demands.
Here are the features and a few comments from endorsers regarding the modifications to the Arion Chorus:
ARION SCH-Z [CHORUS/VIBE] Mod by EWS features
* Installation of 3PDT Switch which makes the pedal True Bypass
* Modified tone adjustment for much smoother sound while retaining the original tone
* Vivid and readable blue LED
* Chorus and Vibe mode switchable : Note OUT2(STEREO) is no longer available due to this MOD.",,,"known for its lush, ""wet"" modulation and a unique ability to simulate a rotary speaker effect. It is the modern successor to the legendary Arion SCH-1, (Michael Landau's favorite chorus) ",,
2600,ARP Instruments,Synth / Samplers,Synth / Samplers,"ARP 2600
Arp Synth Products","Semi-modular analog monophonic subtractive synth. Most famous version of ARP (Pearlman was from Newton Highlands, MA) ",Alan R. Pearlman,1971-72,,"Joe Zawinul, Genesis, Herbie Hancock",
Axxe,ARP Instruments,Synth / Samplers,Synth / Samplers,ARP Axxe,1 one oscillator version of the Odyssey,,1975,,"Herbie Hancock, Howard Leese (Heart)",
Odyssey,ARP Instruments,Synth / Samplers,Synth / Samplers,"ARP Odyssey (Korg) 
ARP Odyssey",Analog subtractive synth w/ 2 oscillators,,1972 - 81,,,
MiniBrute,Arturia,Synth / Samplers,Synth / Samplers,MiniBrute,,,,,,
MiniFreak,Arturia,Synth / Samplers,Synth / Samplers,MiniFreak,,,,,,
CLX-52 Compressor/Limiter,Ashby,"Dynamics, Stomp","Dynamics, Stomp",CLX-52 Compressor/Limiter,,,,,Billy Sheehan,
AT2020,Audio Technica,Microphone,Microphone,AT2020,Medium Cardioid Condenser Microphone; entry level,,, neutral tone,,
AT3525,Audio Technica,Microphone,Microphone,AT3525,Large Cardioid Condenser Microphone,,,,,
AT4033a/Sm,Audio Technica,Microphone,Microphone,AT 4033a/Sm,Large Cardioid Condenser Microphone,,,,,
AT4047/SV,Audio Technica,Microphone,Microphone,AT4047/SV,Large Cardioid Condenser Microphone,,,Recreates sound of vintage F.E.T. Condenser Mics,,
AT4050,Audio Technica,Microphone,Microphone,AT4050,Large Multi-Pattern Condenser Microphone,,,,,
AT4051,Audio Technica,Microphone,Microphone,AT4051b,Small Cardioid Condenser Microphone,,,,,
AT4055,Audio Technica,Microphone,Microphone,AT4055,Large Handheld Cardioid Condenser Microphone,,,,,
AT4060,Audio Technica,Microphone,Microphone,AT4060,Large Cardioid Condenser Tube Mic,,,,,
AT813a,Audio Technica,Microphone,Microphone,AT813a,Cardioid Small Condenser Handheld Microphone,,,,,
AT853Rx,Audio Technica,Microphone,Microphone,AT853Rx,Miniature Cardioid Condenser Hanging Microphone with in-line power module (phantom only),,,,,
ATM11,Audio Technica,Microphone,Microphone,,Back-electret cardioid condenser instrument microphone,,80s/early 90s,,,
