Model Name,Vendor,Type,Column 11,Link,Description,Founder,Year,Recording notes,Artists,Clone Notes
105Q Cry Baby Bass Wah,Dunlop,"Modulation, Stomp","Modulation, Stomp",105Q Cry Baby Bass Wah,,,,,,
Cry Baby 535Q Multi-Wah,Dunlop,"Modulation, Stomp","Modulation, Stomp",Cry Baby 535Q Multi-Wah,,,,,,
Cry Baby Classic Wah,Dunlop,"Modulation, Stomp","Modulation, Stomp",Cry Baby Classic Wah,GCB95F Uses the Fasel Model 310 inductor (Italian made),,,"Smooth, wide, vocal sweep with a rounded resonance that feels vintage and sings rather than bites.",Darrell Abbott,
Cry Baby Standard Wah,Dunlop,"Modulation, Stomp","Modulation, Stomp",Cry Baby Standard Wah,GCB95 Uses the Fasel Model 310 inductor (Italian made),,2003 - ,"Brighter and more focused, with a sharper mid peak that cuts cleanly through dense or high-gain mixes.",,
Cry Baby Wah,Dunlop,"Modulation, Stomp","Modulation, Stomp",Cry Baby Wah,Uses Black Dunlop inductor (not Fasel) ,,1996-2003,"Raw and aggressive, with a narrow, nasal sweep that can sound edgy or harsh depending on the rig.",Brian May,
EW-85V Mister Cry Baby Super Volume Wah,Dunlop,"Modulation, Dynamics, Stomp","Dynamics, Modulation, Stomp",,hybrid guitar effect pedal that combines a classic wah-wah circuit with a smooth volume controller,,1998-09,,,
Germanium Fuzz Face,Dunlop,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Germanium Fuzz Face,Germanium PNP transistor based distortion,,,"rich, creamy fuzz",,
JHW2 Jimi Hendrix Octavio Fuzz,Dunlop,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",69 Series Octavio Fuzz,,,,iconic octave up sound of Jimi Hendrix,Jimi Hendrix,
SW95 Slash Signature Wah,Dunlop,"Modulation, Stomp","Modulation, Stomp",Slash Cry Baby Wah,,,,,Slash,
TS-1 Stereo Tremolo,Dunlop,"Modulation, Spatial Processing, Stomp","Modulation, Spatial Processing, Stomp",,,,,,,
Collector's Series,DW,Drums,Drums,DW Collector's Series,,,,,,
CS-5 Tri-Stereo Chorus,Dyntronics,Modulation,Modulation,Dyntronics CS-5 Tri-Stereo Chorus,"Analog rack chorus w/ 3 channel design, manual + preset LFOs. BBD. Originally designed as upgrade to Fender Rhodes piano Newer variation of DMP TSC-618. ",,1987,"1980s guitar tones (Steve Lukather, Michael Landau, Dann Huff), airy, watery ""lush"" chorus",,
FS-1 Cyclosonic Panner,Dyntronics,Spatial Processing,Spatial Processing,DS-1 Cyclosonic Panner,"audio exciter, phase shift and panning",,1984,,,
Emulator II,E-mu Systems,Synth / Samplers,Synth / Samplers,Emulator II,4 or 8 voice lo-fi 8-bit sampler. CA envelope generator w/ sequencer ,,1982,"[new wave, electronic, pop]",,
Plumes,EarthQuaker Devices,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Plumes,"""Small Signal Shredder"" ",,,,,
Rainbow Machine,EarthQuaker Devices,"Delay, Modulation, Stomp, Pitch Tools","Delay, Modulation, Pitch Tools, Stomp",Rainbow Machines,Polyphonic Pitch Mesmerizer,,,,,
Life Pedal,EarthQuaker Devices / Sunn O))),"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Life Pedal v2,a distortion with a blendable analog octave up and a booster combined in one compact package,,,,,
QTC1,Earthworks,Microphone,Microphone,"QTC1
QTC40 (Identical)",Accurate omni electret condenser,,,popular for location classical recording and whenever you want to capture the sound of the source without coloration. It has no bass proximity effect and no handling noise. The QTC40 is identical.,,
TC30K,Earthworks,Microphone,Microphone,"TC30
TC30K ",(TC30 and TC30K are the same mic) mnidirectional condenser microphone,,1996,,,
Z30x,Earthworks,Microphone,Microphone,Z30X,"first of Earthworks’ cardioid microphones; it was introduced in the 1990s, until it was replaced by the SR77. Cardioid pattern inconsistent across the frequency spectrum",,,,,
OctaBass,EBS,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",OctaBass,Blue Label. Analog octave perfection,,,,,
D115XLT,Eden Electronics,Amp & Cab,Amp & Cab,D Series 1x15 Cabinet,1x15 Eden-made XLT speakers. 400W,,,"offers a classic rounded tone with great detail and response, coupled with a high temperature voice coil and our Eden cast bell tweeter. It's the option for players looking for a little more growl.",,
D410XLT,Eden Electronics,Amp & Cab,Amp & Cab,,4x10 Eden-made XLT speakers.,,,focused tone w/ exceptional low wend. ,,
EX410SC4,Eden Electronics,Amp & Cab,Amp & Cab,E Series 4x10 Cabinet,300W w/ 4x10 Eden Designed Speakers. ,,,,,
WT800,Eden Electronics,Amp & Cab,Amp & Cab,,"WT = ""World Tour"". Renowned powerful hybrid bass amp. 880W (stereo / bridged) 440W per side · solid-state power · tube preamp (12AX7) · dual power amps · Bass / Mid / Treble 5-band EQ + semi-parametric mids · Enhance control · compressor · DI",David Nordschow,Mid–1990s,"Clean, hi-fi, extremely articulate; fast transient response with tight low end; famous for slap and modern rock bass; widely associated with Marcus Miller, Victor Wooten, and 90s–2000s studio bass tone. Modern, dynamic, rock solid bass sound (R&B, hip hop, metal, jazz) ",,
WTP600,Eden Electronics,Amp & Cab,Amp & Cab,,"WTP = ""World Tour Power/Performance"". 600W · solid-state power · tube preamp (12AX7) · single-channel · Bass / Mid / Treble EQ + semi-parametric mids · Enhance control · DI",David Nordschow,Early–mid 2000s,"Same Eden hi-fi DNA as WT series but simpler and more compact; clean, punchy, controlled; less complex routing than WT800; well-suited for modern studio and live bass without stereo complexity",,
6RM/202,ELAC,Amp & Cab,Amp & Cab,,6.5inch 15ohm woffer/driver. Used in the  Deacy Amp,,1960s,,Brian May,
Filter Factory,Electrix,Modulation,Modulation,,"classic hardware audio processor, a 2U rack unit featuring an analog stereo/mono filter (Low, High, Band Pass, Notch) with real-time controls, built-in distortion (""Buzz""), LFO modulation, tap tempo, and MIDI, ",,,"used by electronic musicians and DJs for filtering synths, drums, vocals, or entire mixes. It offers deep sound shaping with analog character and digital control, allowing for dynamic sweeps, rhythmic effects via momentary buttons, and studio automation",,
Big Muff Pi,Electro-Harmonix,"Harmonic Coloration, Stomp, Dynamics","Dynamics, Harmonic Coloration, Stomp",Electro-Harmonix Big Muff Pi,Vintage Classic. Fuzz / Distortion / Sustainer (Sometimes called the NYC) ,,1970s,"Massive and compressed. high sustain, smooth thick fuzz. The modern reference Muff with the most compression, deepest mid-scoop, and highest sustain. Huge, saturated, and smooth, but less articulate, designed for wall-of-sound sustain.","Jimi Hendrix, Santana, Pink Floyd",
Big Muff PI (Russian) ,Electro-Harmonix,"Harmonic Coloration, Stomp, Dynamics","Dynamics, Harmonic Coloration, Stomp",Big Muff PI (Russian) ,Fuzz / Distortion / Sustainer,,,"Thick and brutal. A pinch smoother than its American-made comrade, the Russian Muff exhibits slightly less sustain, yet retains that unmistakable Big Muff sound. Prized by bass players for its edge, and sought after by guitarists seeking its unique flavor. A heavier, thicker Muff with more low end, rougher texture, and less top-end fizz. Grindy, aggressive, and weighty, with massive lows and a raw, woolly character.",,
Big Muff Pi w/ Tone Wicker,Electro-Harmonix,"Harmonic Coloration, Stomp, Dynamics","Dynamics, Harmonic Coloration, Stomp",Big Muff Pi w/ Tone Wicker,The Wicker switch opens up 3 high frequency filters providing a sustain that is raspy and defined,,,,,
Cathedral,Electro-Harmonix,"Reverb, Stomp","Reverb, Stomp",Cathedral,8 programmable reverb styles w/ Tap Tempo and Damping/Tone control available for each style,,,,,
Deluxe Electric Mistress,Electro-Harmonix,"Harmonic Coloration, Stomp, Dynamics","Dynamics, Harmonic Coloration, Stomp",Deluxe Electric Mistress,Flanger + filter matrix mode. Greater control. ,,,"deeper, thicker sweep. Bigger, more dramatic modulation. fatter, darker, more psychedelic. reaches lower, sounds wider, and can get extreme",,
Deluxe Memory Man,Electro-Harmonix,"Delay, Stomp, Modulation","Delay, Modulation, Stomp",Deluxe Memory Man,"An expanded analog delay with built-in chorus/vibrato, intended as a delay and modulation centerpiece.",,,"Warm, gooey repeats with gentle pitch wobble that smear, bloom, and feel alive as they decay. Syrupy repeats, thick modulation, and mind-bending sci-fi effects",,
Electric Mistress,Electro-Harmonix,"Modulation, Stomp","Modulation, Stomp",,"Core flanger with a fixed, classic voicing",,,"thinner, glassier sweep. More metallic / jet-like than Deluxe. Very late-’70s / new-wave / Andy Summers vibe. Bright, airy, shimmery, swirling. lives in the upper mids and stays subtle. While it has amazing warmth, it is also capable of very versatile chorus and ring modulation type sounds.",,
Graphic Fuzz,Electro-Harmonix,"Harmonic Coloration, EQ, Stomp","EQ, Harmonic Coloration, Stomp",Graphic Fuzz,,,,,,
Memory Man,Electro-Harmonix,"Delay, Stomp","Delay, Stomp",Electro Harmonix Memory Man,analog BBD (Bucket Brigade Device)  based echo/delay. Designed to deliver classic repeats w/o extra modulation features,,1970s,"Clear-for-analog repeats that darken naturally, sitting politely behind the dry signal with very little movement.","David Gilmour, The Edge",
Micro POG,Electro-Harmonix,"Pitch Tools, Stomp","Pitch Tools, Stomp",Micro POG,A simple (POG) polyphonic octave generator that adds clean octave up and down with minimal controls and zero memory.,,,"Tight, organ-like octaves that are stable, clean, and neutral, with almost no animation.",,
Micro Synth,Electro-Harmonix,"Harmonic Coloration, Pitch Tools, Stomp, Dynamics, Modulation","Dynamics, Harmonic Coloration, Modulation, Pitch Tools, Stomp",Micro Synth,,,,,,
Next Step Talking Pedal,Electro-Harmonix,"Modulation, Stomp","Modulation, Stomp",Next Step Talking Pedal,"Like a wah pedal, w/ a built in fuzz circuit",,,,,
Octavix,Electro-Harmonix,"Harmonic Coloration, Stomp","Harmonic Coloration, Stomp",Octavix,,,,"mics late 60's fuzzed out, octave up sound (Hendrix) ",,
POG 2,Electro-Harmonix,"Pitch Tools, Stomp","Pitch Tools, Stomp",POG 2,"An expanded (POG) polyphonic octave generator with multiple octave voices, detune, filtering, attack control, and preset storage",,,"Bigger, wider, and more synth-like, capable of lush organ stacks, slow pads, and animated octave textures.",,
Q-Tron,Electro-Harmonix,"Modulation, Stomp","Modulation, Stomp",Q-Tron,"Envelope Filter. In this filter effect, cutoff frequency can automatically sweep by the effect of the envelop of the audio passing through it",,,,,
Ram's Head Big Muff Pi,Electro-Harmonix,"Harmonic Coloration, Stomp, Dynamics","Dynamics, Harmonic Coloration, Stomp",Ram's Head Big Muff Pi,Faithful reproduction of the highly coveted 1973 Violet Ram’s Head Big Muff Pi heard on countless classic recordings and famous guitar solos!,,,"Smooth and lyrical. Smoother and darker than the Triangle, with singing sustain, slightly scooped mids, and a refined, liquid lead voice. Creamy, violin-like sustain that blooms and stays musical under long notes.",,
Ravish,Electro-Harmonix,"Stomp, Pitch Tools","Pitch Tools, Stomp",Ravish,"Fuzz / Distortion / Sustainer
A guitar effect that emulates a sitar by combining sympathetic string pitch generation with tuned resonant filtering.",,,,,
Small Clone,Electro-Harmonix,"Modulation, Stomp","Modulation, Stomp",Small Clone,First analog chours,,70s-80s,,"Kurt Cobain (Nevermind, In Utero)",
Small Stone,Electro-Harmonix,"Modulation, Stomp","Modulation, Stomp",Small Stone,Analog phase shifter,,1970,,,
Stereo Memory Man,Electro-Harmonix,"Modulation, Stomp, Delay","Delay, Modulation, Stomp",Stereo Memory Man,"analog delay and chorus/vibrato unit. (NOTE: This is the Vintage unit, not the new delay w/ looper) Looper = ""with Hazarai""",,,rich warm tone,,
Triangle Big Muff Pi,Electro-Harmonix,"Harmonic Coloration, Stomp, Dynamics","Dynamics, Harmonic Coloration, Stomp",Triangle Big Muff Pi,Fuzz / Distortion / Sustainer. ,,1969-71,"Smoother, clearer, and more articulate, with singing sustain that breathes instead of smothering. The Triangle is the ""reference Muff"" before the sound got heavier and darker. It's the version people point to when they say ""vintage, musical Big Muff"". Knmown as the most open, articulate and dynamic Big Muff",,
631,Electro-Voice,Microphone,Microphone,631,"omnidirectional handheld dynamic microphone designed for close pickup in public address and semi-professional recording applications. ""chrome cousin of famously rugged EV635""; controlled, band-limited frequency response and tight reach. ",,,,,
635A,Electro-Voice,Microphone,Microphone,635A & 635A/B,omni condenser,,,handheld used in broadcasting and field recording,,
EVM12L,Electro-Voice,Amp & Cab,Amp & Cab,EVM12L Classic,"200W (L = Lead) ""Black Shadow""; massive magnet",,,,,
EVM15B,Electro-Voice,Amp & Cab,Amp & Cab,EVM15B Pro Line,B = Bass,,,,,
N/D357,Electro-Voice,Microphone,Microphone,N/D Series - 357,"medium dynamic; Listed as ""mid-diaphragm"". ",,,Frequency expressly contoured for female vocals,,
N/D767A,Electro-Voice,Microphone,Microphone,N/D767A,Premium dynamic vocal microphone,,,live performance,,
N/D868,Electro-Voice,Microphone,Microphone,N/D868,small dynamic,,,Designed for Kick drum,,
ND46,Electro-Voice,Microphone,Microphone,ND46,Dynamic supercardioid instrument microphone. Compact,,," [snare, guitar cabs, toms ]",,
PL20,Electro-Voice,Microphone,Microphone,PL20,"medium dynamic cardioid instrument mic; Listed as ""mid-diaphragm"". Early predecessor to RE20",,,,,
RE15,Electro-Voice,Microphone,Microphone,RE15,small dynamic,,,,,
RE16,Electro-Voice,Microphone,Microphone,RE16,"Variable-D small dynamic supercardioid; Just like RE15, but w/ a blast filter",,,,,
RE20,Electro-Voice,Microphone,Microphone,RE20,industry standard dynamic cardioid mic. ,,,"wide range of applications  Go-to for spoken word. [voiceovers, vocals, kick drum] Bass, Guitar; focused, warm mid-range",,
RE55,Electro-Voice,Microphone,Microphone,,omni small dynamic,,,,,
Synthex,Elka,Synth / Samplers,Synth / Samplers,"Elka Synthex
Elka Synthex (Wiki)",,,1981-85,,Tangerine Dream; Nick Rhodes (Duran Duran); Geoff Downes (Asia) ,
Alpha Compressor,Elysia,Dynamics,Dynamics,Elysia Alpha Compressor,Analog compression w/ Niveau Filter and Sidechain-EQ,,,,,
mpressor,Elysia,Dynamics,Dynamics,Elysia mpressor,Creative compressor w/ elysia niveau filter,,,,,
REDD 51,EMI,Console,Console,REDD Recording Console,"created in '59, but installed at AR in 1963. ""Recording Engineering Development Department"")  REDD.47 amps replaced V72. Both are mono/stereo w/ 2-band EQ in ""Classic"" or ""Pop"" modes",Peter Berkowitz,1959; 1963,"Ken Scott, Geoff Emerick, Abbey Road",,
REDD.17,EMI,Console,Console,REDD Recording Console,"(""Recording Engineering Development Department"" at Abbey Road,) mono/stereo w/ 2-band -EQ, siemens V72 valve amps",Peter Berkowitz,1958,Abbey Road,,
"REDD.37
",EMI,Console,Console,REDD Recording Console,"(37) Siemens V72 valve amps mono/stereo w/ 2-band EQ in ""Classic"" or ""Pop"" modes",Peter Berkowitz,1959,Abbey Road,,
TG12321 Compander,EMI,Dynamics,Dynamics,TG12321 Compander,"Designed with the intention to reduce tape hiss in the quiet moments of classical recordings, the compander works by compressing on input (encoding) and expanding on output (decoding).",Edward Trendell; William Percival,1962-64,Abbey Road,,
TG12345 Console,EMI,Console,Console,"TG12345
EMI TG 12345","Replaced old REDD desks n 1967 (installed in 68 at Abbey Road)  3-band EQ, 7:1 limiter, 2:1 compressor ",,,,,
TG12410 Transfer Console,EMI,Utility,Utility,EMI TG12410,"PPM, VU and phase correlation meters",,1972,"Beatles, Pink Floyd (Dark Side of the Moon) , Paul McCartney, Rolling Stones",,
TG12411 Input Module,EMI,Channel Strip,Channel Strip,EMI TG12411,mastering mic pre / module input for TG12410 Transfer Console,,1972,"Beatles, Pink Floyd (Dark Side of the Moon) , Paul McCartney, Rolling Stones",,
TG12412 Tone Module,EMI,EQ,EQ,EMI TG12412 & TG12414,4 band mastering EQ w/ 5 shapes per band,,1972,"Beatles, Pink Floyd (Dark Side of the Moon) , Paul McCartney, Rolling Stones",,
TG12413 Limiter Module,EMI,Dynamics,Dynamics,"TG1 Limiter
TG Opto Compressor",Mastering all discrete limiter/compressor circuit w/ balanced input and output. ,,1972,"Beatles, Pink Floyd (Dark Side of the Moon) , Paul McCartney, Rolling Stones; smooth pleasing distortion. Warm open sound compared to a Fairchild 670. Maintains clarity and high frequency response",,
TG12414 Filter Module,EMI,EQ,EQ,EMI TG12412 & TG12414,"HPG, LPF, presence controls and MKIV TG Line Amplifier. ",,1972,"Beatles, Pink Floyd (Dark Side of the Moon) , Paul McCartney, Rolling Stones",,
TG12416 Output Module,EMI,Spatial Processing,Spatial Processing,,V.A.L (Spread) Module (stereo component only) incorporated into the Output Module.,,1972,"Beatles, Pink Floyd (Dark Side of the Moon) , Paul McCartney, Rolling Stones",,
ADT ,EMI/Abbey Road,Modulation,Modulation,ADT (Artificial Double Tracking) ,(Artificial Double Tracking)  double tracking effect created by a delay w/ LFO and tape saturation,Ken Townsend,1966,created for John Lennon (Beatles) ,,
King George V,EMI/Abbey Road,Microphone,Microphone,,(1925) Used to record the score  / dialog in The King's Speech; carbon,,,,,
King George VI,EMI/Abbey Road,Microphone,Microphone,,(1936) Used to record the score  / dialog in The King's Speech; dynamic moving coil,,,,,
Queen Elizabeth,EMI/Abbey Road,Microphone,Microphone,,(1936) Used to record the score  / dialog in The King's Speech; ; dynamic moving coil,,,,,
RS124 Compressor,EMI/Abbey Road,Dynamics,Dynamics,EMI RS124,Modeled after the Altec 436B,Bill Livy; Mike Batchelor; Len Page,1960,Abbey Road,,
"RS56 ""Curve Bender"" ",EMI/Abbey Road,EQ,EQ,RS56 Universal Tone Control Unit,3-band passive EQ,Mike Batchelor,1952,Beatles,,
STEED,EMI/Abbey Road,Delay,Delay,STEED,"(Send Tape Echo Echo Delay), aka Single Tape Echo and Echo Delay. Technique used in magnetic tape sound recording to apply a delay effect using tape loops and echo chambers. ",Gwynne Stock,late 1950s,Abbey Road / Beatles,,
Copperhead,Eminence,Amp & Cab,Amp & Cab,,10 inch,,,,,
Governor,Eminence,Amp & Cab,Amp & Cab,,12-inch; 75W British-voiced guitar speaker,,,"thick, raunchy tone w/ priminent mids, tight lows and top-end sparkle. Rock, Blues, Metal. Compared w/ Celestion Vintage 30s w/ smoother highs",,
Legend,Eminence,Amp & Cab,Amp & Cab,Legend,12-inch; 75W,,,,,
Fillmore FM-75,Eminence / Mesa/Boogie,Amp & Cab,Amp & Cab,Fillmore FM-75,Eminence manufactured (branded by Mesa/Boogie) 75W,,,,,
Fillmore KS-100,Eminence / Mesa/Boogie,Amp & Cab,Amp & Cab,,"Eminence manufactured (branded by Mesa/Boogie) 12"";100W",,,,,
Solina/ARP String Ensemble,Eminent,Synth / Samplers,Synth / Samplers,ARP String Ensemble,based on string synth from Eminent310 Unique electronic organ. ,,1974,"Warm, shimmering. [progressive rock, disco, electronic)]",,
EL7 FATSO,Empirical Labs,"Harmonic Coloration, Dynamics","Dynamics, Harmonic Coloration",EL7 Fatso,"(Full Analog Tape Simulator and Optimizer) 4 types of compression, class A transformer saturation control w/ 4 processing types and side chain filtering",Dave Derr,,,,
EL8 Distressor,Empirical Labs,Dynamics,Dynamics,Empirical Labs Distressor,"modern VCA compressor (based on UA 1176 + LA-2A), 8 modes of SC processing, 3 SC modes and 2 types of distortion",Dave Derr,1993,,,
Synthi AKS,EMS (Electronic Music Systems) ,Synth / Samplers,Synth / Samplers,EMS Synthi AKS,version of the EMS  Synthi A (1971) w/ a built in sequencer ,,1972,"[sound design, experimental, spacey]  ","Pink Floyd, The Who, Yes, King Crimson, Led Zeppelin, Jethro Tull, Moody Blues, Fleetwood Mac, Three Dog Night",
VCS3,EMS (Electronic Music Systems) ,Synth / Samplers,Synth / Samplers,VCS3,"Nicknamed ""Putney"". Analog monophonic synth from UK. ",,1969,,"Brian Eno, Tangerine Dream, Pink Floyd, Stereolab, Yes, Aphex Twin, Depeche Mode, The Who, Todd Rundgren",
140 ST Plate Reverb,EMT (Elektro-Mess-Technik) ,Reverb,Reverb,EMT 140 Plate Reverb,"First artificial (electromechanical) reverb unit. 3 types of classic plate reverb w/ EMT or Martech filters;  E81L,, E80CC, EF804ES valve amps",,1957,Abbey Road,,
240 Reverb Foil,EMT (Elektro-Mess-Technik) ,Reverb,Reverb,EMT 240 Reverb Foil,Successor to 140. Replaced steel plate w/ electrolytically produced gold foil. (More portable / smaller) ,,1971,,,
250 Digital Reverb,EMT (Elektro-Mess-Technik) ,Reverb,Reverb,EMT 250 Digital Reverb,Completely electronic. 6 types of lever driven digital reverb / delay / modulation effects,Dr. Barry Blesser,1976,,,
E412VGB,Engl,Amp & Cab,Amp & Cab,E412VGB Cabinet,4x12 cabinet that comes w/ 4 Celestion Vintage 30 speakers by default. 240W,,,"ultra fat bottom end, lots of headroom, tight midrange and shining treble.",,
E412VSB,Engl,Amp & Cab,Amp & Cab,E412VSB Cabinet,4x12 slanted cabinet that comes w/ 4 Celestion Vintage 30 speakers by default. 240W,,,warm harmonic midrange with tight bass and silken treble (for demanding performers) Very nice for lead sounds,,
E412XXL,Engl,Amp & Cab,Amp & Cab,E412XXL Cabinet,4x12 slanted speakers in straight cabinet that comes w/ 4 Celestion Vintage 30 speakers by default. 240W,,,,,
E610 Savage 120,Engl,Amp & Cab,Amp & Cab,,"120W · 2 channels (Clean / Lead) with multiple gain modes · 41 ECC 83, 2 x 6550 tubes. · solid-state rectifier · shared 3-band EQ (Bass / Mid / Treble) · Presence · Master Volume · serial/parallel effects loop · no MIDI (simpler signal path than Invader/Powerball)",Horst Langer,Late 1990s,"Aggressive, raw, and less compressed than other ENGL high-gain amps; strong midrange bite with fast attack; feels more “Marshall-on-steroids” than polished modern metal; favored for thrash, hard rock, and players wanting ENGL tightness without heavy saturation",,
E635 Fireball 100,Engl,Amp & Cab,Amp & Cab,Fireball 100 E635,100W · 2 channels (Clean / Lead) · 4× EL34 power tubes (some regions shipped 6L6 variants) · solid-state rectifier · shared 3-band EQ (Bass / Mid / Treble) · Presence · Master Volume · Depth Boost · built-in Noise Gate (lead channel) · serial effects loop · MIDI optional via external switcher,Horst Langer,Early-mid 2000s,"Extremely tight, aggressive modern high-gain; fast attack with strong low-end control; less saturated than Powerball but more focused; excels at palm-muted metal, drop tunings, and rhythm tracking; commonly associated with modern metal and metalcore production (used by bands in the In Flames / Killswitch Engage / early 2000s European metal orbit). Focused, brutal rhythm machine. Not a vintage or lead centric ENGL",,
E642 Invader 100,Engl,Amp & Cab,Amp & Cab,,"100W · 4 channels (Clean / Crunch / Lead I / Lead II) · 4× EL34 power tubes (factory; 6L6 compatible) · solid-state rectifier · 2 independent 3-band EQs (one for Clean/Crunch, one for Lead I/II) · Presence · Depth Punch · dual Master Volumes · built-in Noise Gate · serial/parallel effects loop · full MIDI control",Horst Langer,Early 2000s (≈2003),"Extremely tight, modern high-gain with surgical low end; aggressive but controlled saturation; excels at layered rhythm tracking and precise leads; widely used in modern metal and hard rock production (associated with bands in the European metal / metalcore scene)",,
E643 Invader 150,Engl,Amp & Cab,Amp & Cab,,150W · 4 channels (Clean / Crunch / Lead I / Lead II) · 6× EL34 power tubes · solid-state rectifier · 2 independent 3-band EQs · Presence · Depth Punch · dual Master Volumes · built-in Noise Gate · serial/parallel effects loop · full MIDI control · higher plate voltage and larger transformers than the 100,Horst Langer,Early–mid 2000s,"Same voicing as the Invader 100 but with more headroom, punch, and authority; stays tighter at extreme volumes; favored for large stages and ultra-tight modern metal tones; less compression than the 100W version",,
E645 Powerball,Engl,Amp & Cab,Amp & Cab,,100W · 4 channels (Clean / Crunch / Lead I / Lead II) · 4× EL34 power tubes (6L6 compatible) · solid-state rectifier · shared 3-band EQ (Bass / Mid / Treble) · Presence · Depth Boost · dual Master Volumes · built-in Noise Gate · serial/parallel effects loop · full MIDI control,Horst Langer,Early 2000s (≈2001–2002),"Extremely saturated, compressed modern high-gain with massive low end; smooth top end and strong noise suppression; excels at heavy rhythm tracking, drop tunings, and dense mixes; became a defining amp of early-2000s European metal and metalcore production",,
E645II Powerball II,Engl,Amp & Cab,Amp & Cab,E645II Powerball II,100W · 4 channels (Clean / Crunch / Lead I / Lead II) · 4× EL34 power tubes (6L6 compatible) · solid-state rectifier · 2 independent 3-band EQs (Clean/Crunch and Lead I/II) · Presence · Depth Punch · dual Master Volumes · enhanced built-in Noise Gate · serial/parallel effects loop · full MIDI control · revised power supply and tighter low-end response vs original,Horst Langer,Early 2010s (≈2011),"Retains the Powerball’s signature saturation but with tighter bass, clearer mids, and better note separation; less blanket compression than the original; more flexible for studio work and layered guitars while still firmly modern-metal focused; preferred in later-era metal and precision rhythm tracking",,
E646 Victor Smolski Ltd.,Engl,Amp & Cab,Amp & Cab,E646 Victor Smolski Ltd,100W · 4 channels (Clean / Crunch / Lead I / Lead II) · 4× EL34 power tubes · solid-state rectifier · 2 independent 3-band EQs (Clean/Crunch and Lead I/II) · Presence · Depth Boost · dual Master Volumes · built-in Noise Gate · serial/parallel effects loop · full MIDI control,Horst Langer; Victor Smolski,,"fast attack, punchy rhythm, furious leads, sparking clean sounds. Very tight, articulate modern high-gain with strong mid focus and controlled low end; less compressed than Powerball, more aggressive upper mids; excels at fast, precise metal riffing and technical leads; closely associated with Victor Smolski (Rage) and European power/prog metal",,
E650 (Ritchie Blackmore Signature) ,Engl,Amp & Cab,Amp & Cab,E650 (Ritchie Blackmore Signature) ,100W · 2 channels (Clean / Lead) · 4× 6L6GC power tubes · solid-state rectifier · shared 3-band EQ (Bass / Mid / Treble) · Presence · Master Volume · serial effects loop · no built-in reverb,Horst Langer; Ritchie Blackmore,Mid–late 1990s,"Very tight, articulate, mid-forward distortion; fast attack with minimal sag; cleaner and more controlled than typical ENGL high-gain amps; excels at classical rock, neo-classical, and precise lead work; associated with Ritchie Blackmore (Deep Purple / Rainbow–era tones in later years",,
E765 Retro Tube,Engl,Amp & Cab,Amp & Cab,,"100 watts EL34 tube, 2 channels (clean, overdrive) ",,,,,
SQ-80,Ensoniq,Synth / Samplers,Synth / Samplers,Ensoniq SQ-80,"(digital, analog hybrid) (digital waveforms, analog filters) ",,1987-89,"(lush pads, gritty leads) ",,
UL3 112,Epifani,Amp & Cab,Amp & Cab,Ultralight UL3 Series,,,,,,
Mono Volume Pedal 250K,Ernie Ball,"Dynamics, Stomp","Dynamics, Stomp",Mono Volume Pedal 250K,super smooth foot sweep for precise volume control and is perfectly voiced for passive audio signals.,,,,,
Music Man StingRay 5,Ernie Ball,Bass,Bass,Stingray,,,,,,
Music Man StingRay 5 Retro '70s ,Ernie Ball,Bass,Bass,Retro '70s StingRay,,,,,,
Music Man StingRay Pino Palladino Fretless,Ernie Ball,Bass,Bass,Pino Palladino,,,,,,
MVP ,Ernie Ball,"Dynamics, Stomp","Dynamics, Stomp",MVP ,"(MVP = Most Valuable Pedal) super smooth foot sweep, ideal for precise volume control with no high-frequency loss at any volume. Designed to maximize versatility, this pedal works with both active and passive electronics and is equipped with a minimum volume knob as well as a powerful gain boost, allowing players to increase the audio signal up to +20 decibels. ",,,,,
ICBM Fuzz,Euthymia,"Stomp, Harmonic Coloration","Harmonic Coloration, Stomp",Euthymia,Versatile op-amp/silicon based fuzz inspired by EHX Big Muff Pi,,,,,
DSP4000 Ultra-Harmonizer,Eventide,Pitch Tools,Pitch Tools,DSP4000,multipurpose programmable digital audio signal processor with pitch change capability,,1992,,,
Eclipse,Eventide,Multi Effects,Multi Effects,Eclipse,"SIngle rackspace, lighterweight alternitive to Orville or 7000",,,,,
H3000 Ultra-Harmonizer,Eventide,Multi Effects,Multi Effects,H3000 Ultra-Harmonizer,"11 effects algorithms, 100 presets. Intelligent pitch changer and programmable effects (stereo delays, reverbs, pitch shift, stutter effects, vocoder, string modeler, phaser effects and sampler) ",,,,,
H8000,Eventide,Multi Effects,Multi Effects,H8000FW,1800 post-production and music effects preset algorithms.,,,,,
H910,Eventide,Multi Effects,Multi Effects,H910 Harmonizer,"First harmonizer (first digital audio effects device) w/ optional HK941 keyboard controller. DDL (Digital Delay Line) w/ analog filtering, feedback and pitch modulation",,1974,"AC/DC, David Bowie, Frank Zappa",,
