Name,Manufacturer,Category,Sorted Category,Tags,Sorted Tags,Parent,Model,Series / Collection,Plugin Notes,Workflow Notes,Recording Notes,Form Factor,Format,Version,,,,,,,,,
X-DRIVE (Orange Setting),IK Multimedia,Harmonic Coloration,Harmonic Coloration,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp",Amplitube,Boss DS-1 Distortion,X-Gear (X-DRIVE),,Boss DS-1 ALT (Tone),,,,,,,,,,,,,
X-DRIVE (Purple Setting),IK Multimedia,Harmonic Coloration,Harmonic Coloration,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp",Amplitube,Roger Mayer Octavia,X-Gear (X-DRIVE),,Roger Mayer Octavia TOP,,,,,,,,,,,,,
X-DRIVE (Yellow Setting),IK Multimedia,Harmonic Coloration,Harmonic Coloration,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp",Amplitube,Boss SD-1 Super OverDrive,X-Gear (X-DRIVE),,Boss SD-1 ALT (Tone),,,,,,,,,,,,,
X-SPACE,IK Multimedia,Reverb & Room,Reverb & Room,"Guitar, Stomp","Guitar, Stomp",Amplitube,,X-Gear (X-SPACE),16 original settings,,,,,,,,,,,,,,
X-TIME,IK Multimedia,Delay,Delay,Stomp,Stomp,Amplitube,,X-Gear (X-TIME),16 original settings,,,,,,,,,,,,,,
X-VIBE,IK Multimedia,Pitch,Pitch,Stomp,Stomp,Amplitube,,X-Gear (X-VIBE),16 original settings,,,,,,,,,,,,,,
XS Fuzz,IK Multimedia,Harmonic Coloration,Harmonic Coloration,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp",Amplitube,Roger Mayer Axis Fuzz,Electric Gypsy Collection,,,,,,,,,,,,,,,
Z Wreck,IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",Amplitube,Dr. Z Z Wreck,Dr. Z Collection,(crunch),Dr. Z Z Wreck ALT (Tone),,,,,,,,,,,,,
Bottle 563,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",Neumann CMV 563,,,,,,,,,,,,,,,,
Condenser 12,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",AKG C12,,Standalone Mic / Overhead Pair / Amplitube Room,"AKG C12 DNU 
Embedded in Amplitube",,,,,,,,,,,,,
Condenser 170,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",Neumann TLM170,,Standalone Mic / Overhead Pair / Amplitube Room,,,,,,,,,,,,,,
Condenser 67,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",Neumann U67,,,"Neumann U67 ALT (Tone)
Embedded in AmpliTube",,,,,,,,,,,,,
Condenser 87,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",Neumann U87,,Standalone Mic / Overhead Pair / Amplitube Room,"Neumann U87 ALT (Tone)
Embedded in AmpliTube",,,,,,,,,,,,,
Dynamic 20,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",Electro-Voice RE20,,,Electro-Voice RE20 ALT(Tone),,,,,,,,,,,,,
Dynamic 421,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",Sennheiser MD421,,,"Sennheiser MD421 ALT (None)
Embedded in Amplitube",,,,,,,,,,,,,
Dynamic 441,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",Sennheiser MD441,,,"Sennheiser MD441 ALT (None)
Embedded in Amplitube",,,,,,,,,,,,,
Dynamic 609,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",Sennheiser e609,,,"Sennheiser e609 TOP
Embedded in Amplitube",,,,,,,,,,,,,
"MD1b
MD1b-FET",IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",Groove Tubes MD1b-FET,,,,,,,,,,,,,,,,
Ribbon 121,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",Royer R121,,,"Royer R121 ALT (Tone)
Embedded in Amplitube",,,,,,,,,,,,,
Ribbon 160,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",Beyerdynamic M160,,,Beyerdynamic M160 ALT (Tone),,,,,,,,,,,,,
Tube VM,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",Brauner VM1,,,Brauner VM1 ALT (Tone),,,,,,,,,,,,,
Velo-8,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",Groove Tubes Velo 8,,,,,,,,,,,,,,,,
Vintage Dynamic 20,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom",AKG D20,,,"AKG D20 TOP
Embedded in Amplitube",,,,,,,,,,,,,
Condenser 414,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom, TONEX",AKG C414 EB,,Standalone Mic / Overhead Pair / Amplitube Room,"AKG C414 EB ALT (Tone)
Embedded in Amplitube & TONEX",,,,,,,,,,,,,
Dynamic 57,IK Multimedia,Microphone,Microphone,Modeled,Modeled,"Amplitube, MicRoom, TONEX",Shure SM57,,,"Shure SM57 ALT (None)
Embedded in Amplitube and TONEX",,,,,,,,,,,,,
AM Modulator,IK Multimedia,Modulation,Modulation,,,"Amplitube, MixBox",,Amplitube Collection,,,,,,,,,,,,,,,
American Vintage T,IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled","Amplitube, MixBox",Fender '68 Twin Reverb,Electric Gypsy Collection,(1968) (clean) 2x12 JBL D120F w/ spring reverb,Fender 68 Twin Reverb ALT (Tone),,,,,,,,,,,,,
Auto Pan,IK Multimedia,Modulation,Modulation,,,"Amplitube, MixBox",,Amplitube Collection,,,,,,,,,,,,,,,
Black 76,IK Multimedia,Dynamics,Dynamics,Modeled,Modeled,"Amplitube, MixBox",UREI 1176LN Rev E,T-Racks,,"UREI 1176 LN Rev E ALT (Tone)
Embedded in Amplitube and MixBox",,Plugin,"AU, VST3",6.3.0,,,,,,,,,
"British Tube Lead
British Tube Lead 2",IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled","Amplitube, MixBox",Marshall JCM900 4100,Amplitube Collection,(high-gain),Marshall JCM900 ALT  (Tone),,,,,,,,,,,,,
Chorus,IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Boss CE-2,Amplitube Collection,,Boss CE-2 ALT (Tone),,,,,,,,,,,,,
"Chorus-1
Chorus C1 (Mixbox)",IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Boss CE-1 Chorus Ensemble,Amplitube Collection,,Boss CE-1 ALT (Tone),,,,,,,,,,,,,
Compressor,IK Multimedia,Dynamics,Dynamics,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",MXR Dyna Comp,Amplitube Collection,,MXR Dyna Comp ALT (Tone),,,,,,,,,,,,,
Crusher,IK Multimedia,Harmonic Coloration,Harmonic Coloration,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Z Vex Fuzz Factory,Amplitube Collection,,Z Vex Fuzz Factory ALT (Tone),,,,,,,,,,,,,
Digital Reverb,IK Multimedia,Reverb & Room,Reverb & Room,,,"Amplitube, MixBox",,Amplitube Collection,,,,,,,,,,,,,,,
Distortion,IK Multimedia,Harmonic Coloration,Harmonic Coloration,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Boss DS-1 Distortion,Amplitube Metal,,Boss DS-1 ALT (Tone),,,,,,,,,,,,,
Electric Flanger,IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Electro-Harmonix Electric Mistress,Amplitube Collection,,Electro-Harmonix Electric Mistress ALT (Tone),,,,,,,,,,,,,
Envelope Filter,IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Electro-Harmonix Q-Tron,,,Electro-Harmonix Q-Tron TOP,,,,,,,,,,,,,
EQ-81,IK Multimedia,EQ,EQ,Modeled,Modeled,"Amplitube, MixBox",Neve 1081,"Amplitube Collection
T-Racks",,"Neve 1081 ALT (Tone)
Standalone; Embedded in Amplitube and MixBox",,Plugin,"AU, VST3",6.3.0,,,,,,,,,
EQ-PG,IK Multimedia,EQ,EQ,Modeled,Modeled,"Amplitube, MixBox",API 560 10-Band Graphic EQ,"Amplitube Collection
T-Racks",,Standalone; Embedded in Amplitube and MixBox.,,Plugin,"AU, VST3",6.3.0,,,,,,,,,
Filter Phaser,IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Electro-Harmonix Small Stone,Amplitube Collection,,Electro-Harmonix Small Stone ALT (Tone),,,,,,,,,,,,,
Filter-C,IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Curtis CEM3320,Amplitube Collection,,,,,,,,,,,,,,,
Filter-M,IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Moog MF-101 Moogerfooger,Amplitube Collection,,"Moog MF-101 TOP
Embedded in Amplitube and MixBox",,,,,,,,,,,,,
Filter-R,IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Roland IR3109,Amplitube Collection,,,,,,,,,,,,,,,
Flanger,IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",MXR Flanger,Amplitube Collection,,MXR Flanger ALT (Tone),,,,,,,,,,,,,
FM Modulator,IK Multimedia,Modulation,Modulation,,,"Amplitube, MixBox",,Amplitube Collection,,,,,,,,,,,,,,,
Hall Reverb,IK Multimedia,Reverb & Room,Reverb & Room,,,"Amplitube, MixBox",,Amplitube Collection,,,,,,,,,,,,,,,
Inverse Reverb,IK Multimedia,Reverb & Room,Reverb & Room,,,"Amplitube, MixBox",,Amplitube Collection,,,,,,,,,,,,,,,
Jazz Amp 120,IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled","Amplitube, MixBox",Roland JC-120,Amplitube Collection,(clean),Roland JC-120 ALT (Tone),,,,,,,,,,,,,
LFO Filter,IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Moog MF-101 Moogerfooger,Amplitube Collection,,"Moog MF-101 TOP
Embedded in Amplitube and MixBox",,,,,,,,,,,,,
Modern Tube Lead,IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled","Amplitube, MixBox",Mesa/Boogie Dual Rectifier,Amplitube Collection,(high-gain),Mesa/Boogie Dual Rectifier ALT (Tone),,,,,,,,,,,,,
Opto Tremolo,IK Multimedia,"Amp & Cab, Modulation","Amp & Cab, Modulation","Guitar, Modeled","Guitar, Modeled","Amplitube, MixBox",Fender '64 Custom Deluxe Reverb,Amplitube Collection,Optical Tremolo Circuit only,Fender Opto Trem ALT (Tone),,,,,,,,,,,,,
Overdrive,IK Multimedia,Harmonic Coloration,Harmonic Coloration,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Ibanez TS9 (Tube Screamer),Amplitube Collection,,Ibanez TS9 TOP,,,,,,,,,,,,,
OverScream,IK Multimedia,Harmonic Coloration,Harmonic Coloration,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Ibanez TS808 (Tube Screamer),Amplitube Collection,,Ibanez TS808 ALT (Tone),,,,,,,,,,,,,
Parametric EQ,IK Multimedia,EQ,EQ,,,"Amplitube, MixBox",,Amplitube Collection,,,,,,,,,,,,,,,
Phaser,IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Fender Phaser,Fender Collection,,,,,,,,,,,,,,,
Plate Reverb,IK Multimedia,Reverb & Room,Reverb & Room,,,"Amplitube, MixBox",,Amplitube Collection,,,,,,,,,,,,,,,
Room Reverb,IK Multimedia,Reverb & Room,Reverb & Room,,,"Amplitube, MixBox",,Amplitube Collection,,,,,,,,,,,,,,,
Rotary Speaker,IK Multimedia,"Amp & Cab, Modulation","Amp & Cab, Modulation",Modeled,Modeled,"Amplitube, MixBox","Leslie 122
Leslie 147",Amplitube Collection,,"Leslie 122 ALT (Tone)
Leslie 147 ALT (Tone)",,,,,,,,,,,,,
Saturator X,IK Multimedia,Harmonic Coloration,Harmonic Coloration,,,"Amplitube, MixBox",,"Amplitube Collection
T-Racks","10 categories of distortion / saturation [2 analog tape emulators, 2 RMS peak (soft) distortions, tube + solid state push pull (odd harmonics); tube + solid state Class A (asymmetrical ""halo"" distortion; iron / steel core transformer distortion (balanced harmonics) ] w/ brickwall limiter at end of chain ",Standalone; Embedded in Amplitube and MixBox.,,Plugin,"AU, VST3",6.3.0,,,,,,,,,
"Slicer
Step Slicer",IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Boss SL-20 Slicer,Amplitube Collection,,,,,,,,,,,,,,,
Small Phazer,IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Electro-Harmonix Small Stone,Amplitube Collection,,Electro-Harmonix Small Stone ALT (Tone),,,,,,,,,,,,,
"SVX-CL
SVT Classic (MixBox) ",IK Multimedia,Amp & Cab,Amp & Cab,"Bass, Modeled","Bass, Modeled","Amplitube, MixBox",Ampeg SVT-CL,Amplitube SVX,,Ampeg SVT-CL ALT (Tone),,,,,,,,,,,,,
Tape Cassette,IK Multimedia,Harmonic Coloration,Harmonic Coloration,Modeled,Modeled,"Amplitube, MixBox",Tascam Ministudio Porta One,Amplitube Collection,,Standalone; Embedded in Amplitube and MixBox.,,,,,,,,,,,,,
Tremolo,IK Multimedia,"Amp & Cab, Modulation","Amp & Cab, Modulation",Modeled,Modeled,"Amplitube, MixBox",Fender '64 Custom Deluxe Reverb,Fender Collection,Optical Tremolo Circuit only,Fender Opto Trem ALT (Tone),,,,,,,,,,,,,
Uni-V,IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Shin-ei Uni-Vibe,Electric Gypsy Collection,,Shin-ei Uni-Vibe ALT (Tone),,,,,,,,,,,,,
"VC-670
Model 670 (AmpliTube / MixBox) ",IK Multimedia,Dynamics,Dynamics,"Mastering, Modeled","Mastering, Modeled","Amplitube, MixBox",Fairchild 670 Limiting Amplifier,"Amplitube Collection
T-Racks",,"Fairchild 670 ALT (Tone)
Embedded in AmpliTube / MixBox; Standalone",,Plugin,"AU, VST3",6.3.0,,,,,,,,,
Vintage EQ1-A,IK Multimedia,EQ,EQ,Modeled,Modeled,"Amplitube, MixBox",Pultec EQP-1A,Amplitube Collection,,Embedded in Amplitube and MixBox,,,,,,,,,,,,,
Wah 47,IK Multimedia,Modulation,Modulation,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp","Amplitube, MixBox",Vox 847 Wah,Amplitube Metal,,Vox 847 Wah ALT (Tone),,,,,,,,,,,,,
White 2A,IK Multimedia,Dynamics,Dynamics,Modeled,Modeled,"Amplitube, MixBox",Teletronix LA-2A,"Amplitube Collection
T-Racks",,"Teletronix LA-2A ALT (Tone)
Embedded in Amplitube and MixBox",,Plugin,"AU, VST3",6.3.0,,,,,,,,,
Dynamic 58,IK Multimedia,Microphone,Microphone,Modeled,Modeled,MicRoom,Shure SM58,,,Shure SM58 TOP,,,,,,,,,,,,,
Old Telephone Mic,IK Multimedia,Microphone,Microphone,,,MicRoom,,,Old carbon phone capsule,,,,,,,,,,,,,,
Vintage Dynamic,IK Multimedia,Microphone,Microphone,Modeled,Modeled,MicRoom,Shure Model 55,,,Shure SM57 ALT (None),,,,,,,,,,,,,
Ambience,IK Multimedia,Reverb & Room,Reverb & Room,,,MixBox,,,"produces a very short reverb, very useful for emulating the typical ambience of small closed spaces, like studio rooms or little concert suites. ",,,,,,,,,,,,,,
British Dynamics,IK Multimedia,Dynamics,Dynamics,Modeled,Modeled,MixBox,SSL 4000E Channel Strip,,Dynamics Only,SSL 4000E ALT (Dynamics Only) ,,,,,,,,,,,,,
British EQ,IK Multimedia,EQ,EQ,Modeled,Modeled,MixBox,SSL 4000E Channel Strip,,EQ Only,SSL 4000E ALT (EQ Only) ,,,,,,,,,,,,,
Bus Compressor,IK Multimedia,Dynamics,Dynamics,"Mastering, Modeled","Mastering, Modeled",MixBox,SSL 4000G Bus Compressor,T-Racks,,"SSL 4000G Bus Compressor ALT (Tone)
Embedded in MixBox",,Plugin,"AU, VST3",6.3.0,,,,,,,,,
Cabinet,IK Multimedia,Amp & Cab,Amp & Cab,Guitar,Guitar,MixBox,,,"9 generic cabinet models (Little, Direct, 1x12, 1x12 II, 4x10V, 4x10M, 2x12, 4x12V, 4x12M)",,,,,,,,,,,,,,
Channel Strip X,IK Multimedia,"Dynamics, EQ, Preamps","Dynamics, EQ, Preamps",Channel Strip,Channel Strip,MixBox,,T-Racks,"EQ, De-esser, compression, analog vintage harmonics",Standalone; Embedded in MixBox,,Plugin,"AU, VST3",6.3.0,,,,,,,,,
"Classic Multi Band Limiter
Limiter",IK Multimedia,"Dynamics, EQ","Dynamics, EQ",Mastering,Mastering,MixBox,,T-Racks,Multiband (3) Peak Limiter,Standalone; Embedded in MixBox,,Plugin,"AU, VST3",6.3.0,,,,,,,,,
Convo Room,IK Multimedia,Reverb & Room,Reverb & Room,,,MixBox,,,This is a convolution reverb that processes the incoming signal with real sampled spaces providing the ultra- realistic sound of the actual rooms recorded. ,,,,,,,,,,,,,,
DeEsser,IK Multimedia,Dynamics,Dynamics,Voice,Voice,MixBox,,T-Racks,4-Band de-esser,Standalone; Embedded in MixBox,,Plugin,"AU, VST3",6.3.0,,,,,,,,,
Ensemble,IK Multimedia,Modulation,Modulation,Modeled,Modeled,MixBox,Eminent Solina/ARP String Ensemble,,Chorus effect only,,,,,,,,,,,,,,
Env Flanger,IK Multimedia,Modulation,Modulation,,,MixBox,,,"This particular kind of flanger has its feedback parameter, which is internally controlled by the envelope of the audio signal. ",,,,,,,,,,,,,,
EQ Comp,IK Multimedia,"Dynamics, EQ","Dynamics, EQ",,,MixBox,,,"This effect features a semi-parametric EQ and an easy-to-use compressor. Both units are very high quality, giving a very musical sounding equalizer and an “analog-style” compression.",,,,,,,,,,,,,,
EQ-PA,IK Multimedia,EQ,EQ,Modeled,Modeled,MixBox,Pultec MEQ-5 Mid-Range EQ,T-Racks,,"Pultec MEQ-5 Mid-Range EQ ALT (Tone)
Embedded in MixBox",,Plugin,"AU, VST3",6.3.0,,,,,,,,,
Flexi Amp,IK Multimedia,Amp & Cab,Amp & Cab,Guitar,Guitar,MixBox,,,Low CPU usage generic amp modeler,,,,,,,,,,,,,,
Lo-Fi  ,IK Multimedia,Harmonic Coloration,Harmonic Coloration,,,MixBox,,,"degrades the audio quality to simulate a “Lo-Fidelity” sound. In MixBox, this effect is designed to be used as a speaker and cabinet simulator, too. ",,,,,,,,,,,,,,
Multi Chorus,IK Multimedia,Modulation,Modulation,,,MixBox,,,special type of chorus effect with a random pitching character. It is designed to be less regular and noticeable than a classic chorus. ,,,,,,,,,,,,,,
Multi Filter,IK Multimedia,Modulation,Modulation,,,MixBox,,,"This is a particular kind of filter where instead of selecting the type of filter (LPF, BPF or HPF) you can use them all together with independent levels. ",,,,,,,,,,,,,,
Phonograph,IK Multimedia,Harmonic Coloration,Harmonic Coloration,,,MixBox,,,adds disk noises to simulate the sound of music played by vinyl records on old record players.,,,,,,,,,,,,,,
Preamp,IK Multimedia,Amp & Cab,Amp & Cab,Guitar,Guitar,MixBox,,,generic emulator for classic tube guitar amps,,,,,,,,,,,,,,
Spring Reverb,IK Multimedia,Reverb & Room,Reverb & Room,,,MixBox,,,"sounds very close to a real mechanical spring unit, featuring their signature warmth with that typical metallic and resonant vibe. This reverb is mono. ",,,,,,,,,,,,,,
Stereo Imager,IK Multimedia,Spatial Imaging,Spatial Imaging,,,MixBox,,,"Adjusts the stereo image from 0 (mono) to 200% ultra-wide stereo. Note that values over 100% start to lose mono compatibility due to the phase manipulation used, so be sure to check your sound in mono if that is a concern. ",Only use this if I'm working in MixBox,,,,,,,,,,,,,
Tape Echo,IK Multimedia,Delay,Delay,Modeled,Modeled,MixBox,Maestro Echoplex EP-3,T-Racks,,"Maestro Echoplex EP-3 ALT (Tone)
Embedded in MixBox",,Plugin,"AU, VST3",6.3.0,,,,,,,,,
Tone Control,IK Multimedia,Harmonic Coloration,Harmonic Coloration,,,MixBox,,,A classic tube tone control that recreates the tone shaping stage found on the best tube amplifiers. The Tone Control effect can deliver incredible presence and warmth to the sound. ,,,,,,,,,,,,,,
Digital Delay,IK Multimedia,Delay,Delay,Modeled,Modeled,"MixBox, TONEX",Roland SDE-3000,Amplitube Collection,,,,,,,,,,,,,,,
70s Vitamin (Amplitube),IK Multimedia,Amp & Cab,Amp & Cab,"Bass, Modeled","Bass, Modeled",TONEX,Orange AD200,"Premium Tone Model
70s Vitamin","Ampeg B15-N (1x15 Cab Only) 
Ampeg SVT810AV
Orange OBC115
Orange OBC810",Orange AD200 TOP,,,,,,,,,,,,,
70s Vitamin (Amplitube),IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",TONEX,Orange Thunderverb 200,"Premium Tone Model
70s Vitamin","Bogner 212C
Marshall 1960B 4x12",Orange Thunderverb 200 TOP,,,,,,,,,,,,,
70s Vitamin (Amplitube),IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",TONEX,Orange OR120,"Premium Tone Model
70s Vitamin",Engl E412VSB,Orange OR120 TOP,,,,,,,,,,,,,
"800 & 900
Gold Guard (Amplitube)",IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",TONEX,Marshall JCM900 4100,"Premium Tone Model
800 & 900
Gold Guard",Marshall 1960A 4x12,Marshall JCM900 TOP,,,,,,,,,,,,,
"800 & 900
Gold Guard (Amplitube)",IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",TONEX,Marshall JCM800 2203,"Premium Tone Model
800 & 900
Gold Guard","Marshall 1960AX 4x12
Marshall 1960BV 4x12",Marshall JCM800 TOP,,,,,,,,,,,,,
90s Brit Pedals,IK Multimedia,Harmonic Coloration,Harmonic Coloration,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp",TONEX,Marshall Shredmaster,"Premium Tone Model
90s Brit Pedals",,Marshall Shredmaster TOP,,,,,,,,,,,,,
90s Brit Pedals,IK Multimedia,Harmonic Coloration,Harmonic Coloration,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp",TONEX,Marshall The Guv'nor,"Premium Tone Model
90s Brit Pedals",,Marshall The Guv'nor TOP,,,,,,,,,,,,,
Alex Lifeson Legacy,IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",TONEX,Lerxst Omega,Premium Tone Model (Alex Lifeson),"Lerxst Omega 4x12
Marshall 1960BV 4x12",,,,,,,,,,,,,,
Alex Lifeson Legacy,IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",TONEX,Hughes & Kettner Triamp MkII,Premium Tone Model (Alex Lifeson),Hughes & Kettner TC 412 A60,,,,,,,,,,,,,,
Alex Lifeson Legacy,IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",TONEX,Marshall 6100 30th Anniversary,Premium Tone Model (Alex Lifeson),"Marshall 1960BV 4x12
Marshall 4140 Club & Country 2x12",Marshall 6100 30th Anniversary TOP,,,,,,,,,,,,,
Alex Lifeson Legacy,IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",TONEX,Marshall 4140 Club & Country,Premium Tone Model (Alex Lifeson),2x12,,,,,,,,,,,,,,
Bearded (Amplitube),IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",TONEX,Mezzabarba M Zero Overdrive,"Premium Tone Model
Bearded","Fender EVH 5150 III 4x12
Johnson J412V
Marshall 1960AX 4x12 4x12",Mezzabarba M Zero Overdrive TOP,,,,,,,,,,,,,
Bearded (Amplitube),IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",TONEX,Mezzabarba Trinity 100W,"Premium Tone Model
Bearded",Marshall 1960AV 4x12,Mezzabarba Trinity 100W TOP,,,,,(Legacy) ,(Legacy) ,(Legacy) ,(Legacy) ,(Legacy) ,(Legacy) ,(Legacy) ,(Legacy) ,(Legacy) 
Big Tweed (Amplitube),IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",TONEX,Fender Blues Deluxe,"Premium Tone Model
Big Tweed",1x12,,,,,,,,,,,,,,
Black and Blue (Amplitube),IK Multimedia,Amp & Cab,Amp & Cab,"Bass, Modeled","Bass, Modeled",TONEX,Acoustic 360,"Premium Tone Model
Black and Blue","Ampeg SVT-810E
Orange OBC810",Acoustic 360 ALT (Tone),,,,,,,,,,,,,
Black Buff,IK Multimedia,Harmonic Coloration,Harmonic Coloration,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp",TONEX,Arion SMM-1 Metal Master,Black Buff,,,,,,,,,,,,,,,
Black Buff,IK Multimedia,Harmonic Coloration,Harmonic Coloration,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp",TONEX,Boss HM-2 Heavy Metal,Black Buff,,Boss HM-2 ALT (Tone),,,,,,,,,,,,,
Black Buff,IK Multimedia,Harmonic Coloration,Harmonic Coloration,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp",TONEX,DOD FX86B Death Metal,Black Buff,,,,,,,,,,,,,,,
Black Fuzz,IK Multimedia,"EQ, Harmonic Coloration","EQ, Harmonic Coloration","Guitar, Modeled, Stomp","Guitar, Modeled, Stomp",TONEX,Electro-Harmonix Graphic Fuzz,Black Fuzz,,Electro-Harmonix Graphic Fuzz TOP,,,,,,,,,,,,,
Black Fuzz,IK Multimedia,Harmonic Coloration,Harmonic Coloration,"Guitar, Modeled, Stomp","Guitar, Modeled, Stomp",TONEX,Wattson Electronics Companion FY-2,Black Fuzz,,,,,,,,,,,,,,,
Black Mark (Amplitube),IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",TONEX,Mesa/Boogie Mark III,"Premium Tone Model
Black Mark","
1x12 
Bogner 212C
Bogner Uberkab 4x12
Marshall 1960AX 4x12 4x12",Mesa/Boogie Mark III TOP,,,,,,,,,,,,,
Black Mark (Amplitube),IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",TONEX,Mesa/Boogie Mark V,"Premium Tone Model
Black Mark",Mesa/Boogie 4x12 Front-Loaded (4FB),Mesa/Boogie Mark V TOP,,,,,,,,,,,,,
Bogeyman (Amplitube) ,IK Multimedia,Amp & Cab,Amp & Cab,"Guitar, Modeled","Guitar, Modeled",TONEX,Bogner Ecstasy 101B,"Premium Tone Model
Bogeyman",Marshall 1960A 4x12,Bogner Ecstasy 101B ALT (Tone),,,,,,,,,,,,,
