Soniccouture,,,,,,,,,,,,,,,Superior Drummer 3,,,,
Sound Oracle,,,,,,,,,,,,,,,Synclavier V,,,,
Soundminer,,,,,,,,,,,,,,,Synthi V,,,,
Soundpaint,,,,,,,,,,,,,,,Synthx V,,,,
Soundtoys,,,,,,,,,,,,,,,Syntronik,,,,
Spectrasonics,,,,,,,,,,,,,,,Vocoder V,,,,
Spitfire Audio,,,,,,,,,,,,,,,VOX Continental V2,,,,
Steinberg,,,,,,,,,,,,,,,Wurli V3,,,,
Tim Exile,,,,,,,,,,,,,,,,,,,
Tom Pritchard,,,,,,,,,,,,,,,,,,,
Toontrack,,,,,,,,,,,,,,,,,,,
Universal Audio,,,,,,,,,,,,,,,,,,,
Voxengo,,,,,,,,,,,,,,,,,,,
W.A. Production,,,,,,,,,,,,,,,,,,,
Waves,,,,,,,,,,,,,,,,,,,
XLN Audio,,,,,,,,,,,,,,,,,,,
Yamaha,,,,,,,,,,,,,,,,,,,
Zero G,,,,,,,,,,,,,,,,,,,
